model_label,pooling,layer,metric,family,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units,scope
Qwen3-8B,span_end,19,accuracy_damage_specificity,retention,0.4200000002980232,0.30000000447034836,0.5199999988079071,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,19,relative_rms_specificity,deformation,1.1766866602003574,1.1409740249160678,1.210895374501124,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,19,cosine_specificity,deformation,0.6056895989924669,0.589187863538973,0.6205784462045995,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,20,correct_distance_specificity,retention,2.235175943374634,2.0629200863838197,2.3624939957261084,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,20,margin_damage_specificity,retention,0.48686063215136527,0.4399809707887471,0.5207370436936617,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,20,accuracy_damage_specificity,retention,0.3100000016391277,0.21000000312924386,0.3999999985098839,0.00390625,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,20,relative_rms_specificity,deformation,1.0500297196209432,1.017267305776477,1.0806190572399648,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,20,cosine_specificity,deformation,0.5758726132451557,0.5593348699738272,0.5903363961493596,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,21,correct_distance_specificity,retention,2.2280244886875153,2.0580668893456457,2.3533312037587164,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,21,margin_damage_specificity,retention,0.5073904395103455,0.4548373299092054,0.5451502734050154,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,21,accuracy_damage_specificity,retention,0.3300000064074993,0.2400000013411045,0.41000000983476637,0.00390625,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,21,relative_rms_specificity,deformation,1.149529045075178,1.1111747851036489,1.1859603501111269,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,21,cosine_specificity,deformation,0.6302482020691969,0.6127936899545603,0.6445316420699237,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,22,correct_distance_specificity,retention,1.6374670565128326,1.533973515033722,1.715553306043148,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,22,margin_damage_specificity,retention,0.40814808927243573,0.3707416363310767,0.43697032481431963,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,22,accuracy_damage_specificity,retention,0.23000000566244125,0.1600000061094761,0.3000000029802322,0.00390625,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,22,relative_rms_specificity,deformation,1.0903313651680946,1.0616031728684903,1.1205598719231784,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,22,cosine_specificity,deformation,0.6231811398640275,0.606310277019511,0.636143230710295,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,23,correct_distance_specificity,retention,1.2750413179397584,1.2002985107898712,1.3384118327498435,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,23,margin_damage_specificity,retention,0.39355927221477033,0.35774381934665145,0.4222622675821185,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,23,accuracy_damage_specificity,retention,0.24000000730156898,0.14000000357627868,0.35000001043081286,0.00390625,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,23,relative_rms_specificity,deformation,1.061765795201063,1.0380359224975109,1.087560230549425,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,23,cosine_specificity,deformation,0.607151961280033,0.5880465129623189,0.6220843703718856,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,24,correct_distance_specificity,retention,1.1625581443309785,1.093859750032425,1.2258581483364106,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,24,margin_damage_specificity,retention,0.4327999650966376,0.40339914839714763,0.45635609195102006,0.001953125,10,exploratory_layerwise_no_layer_selection
