model_label,mode_native,layer,occurrence,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,10,mean_bhattacharyya,1.4034302764468722,higher,1.4034302764468722,non_thinking,1.9252028266588848,higher,1.9252028266588848,-0.5217725502120125
Qwen3-8B,native_thinking,0,10,nc2_class_cosine_deviation,0.16531822609680671,lower,-0.16531822609680671,non_thinking,0.6862253535676887,lower,-0.6862253535676887,0.520907127470882
Qwen3-8B,native_thinking,1,1,logistic_precision,0.1875,higher,0.1875,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.5902777777777778
Qwen3-8B,native_thinking,1,1,logistic_recall,0.3333333333333333,higher,0.3333333333333333,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.4444444444444445
Qwen3-8B,native_thinking,1,1,logistic_f1,0.24,higher,0.24,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.5377777777777778
Qwen3-8B,native_thinking,1,1,ncc_recall,0.0,higher,0.0,non_thinking,1.0,higher,1.0,-1.0
Qwen3-8B,native_thinking,1,1,silhouette_cosine,-0.1715344339609146,higher,-0.1715344339609146,non_thinking,0.7859532833099365,higher,0.7859532833099365,-0.9574877172708511
Qwen3-8B,native_thinking,1,1,within_trace,2818.5322265625,lower,-2818.5322265625,non_thinking,1987.9852294921875,lower,-1987.9852294921875,-830.5469970703125
Qwen3-8B,native_thinking,1,1,class_nc1_ratio,12.187033757475984,lower,-12.187033757475984,non_thinking,0.1870610013112293,lower,-0.1870610013112293,-11.999972756164754
Qwen3-8B,native_thinking,1,1,centroid_nearest_squared,252.1392364501953,higher,252.1392364501953,non_thinking,6094.43017578125,higher,6094.43017578125,-5842.290939331055
Qwen3-8B,native_thinking,1,1,fisher_nearest,0.08945763829626527,higher,0.08945763829626527,non_thinking,3.0656315174625397,higher,3.0656315174625397,-2.9761738791662746
Qwen3-8B,native_thinking,1,1,min_bhattacharyya,1.1945658177137375,higher,1.1945658177137375,non_thinking,3.9092791080474854,higher,3.9092791080474854,-2.714713290333748
Qwen3-8B,native_thinking,1,1,mean_bhattacharyya,1.658694447742568,higher,1.658694447742568,non_thinking,19.765360434850056,higher,19.765360434850056,-18.106665987107487
Qwen3-8B,native_thinking,1,1,nc2_class_cosine_deviation,0.14277080184331645,lower,-0.14277080184331645,non_thinking,0.682992774395295,lower,-0.682992774395295,0.5402219725519786
Qwen3-8B,native_thinking,1,2,logistic_precision,0.0,higher,0.0,non_thinking,0.5,higher,0.5,-0.5
Qwen3-8B,native_thinking,1,2,logistic_recall,0.0,higher,0.0,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.7777777777777778
Qwen3-8B,native_thinking,1,2,logistic_f1,0.0,higher,0.0,non_thinking,0.6086956521739131,higher,0.6086956521739131,-0.6086956521739131
Qwen3-8B,native_thinking,1,2,ncc_recall,0.0,higher,0.0,non_thinking,0.5555555555555556,higher,0.5555555555555556,-0.5555555555555556
Qwen3-8B,native_thinking,1,2,silhouette_cosine,-0.12651313841342926,higher,-0.12651313841342926,non_thinking,-0.3712770640850067,higher,-0.3712770640850067,0.24476392567157745
Qwen3-8B,native_thinking,1,2,within_trace,1126.617919921875,lower,-1126.617919921875,non_thinking,3953.7978515625,lower,-3953.7978515625,2827.179931640625
Qwen3-8B,native_thinking,1,2,class_nc1_ratio,8.932532764675539,lower,-8.932532764675539,non_thinking,3.1155382167899224,lower,-3.1155382167899224,-5.816994547885617
Qwen3-8B,native_thinking,1,2,centroid_nearest_squared,103.15324401855469,higher,103.15324401855469,non_thinking,1812.2891845703125,higher,1812.2891845703125,-1709.1359405517578
Qwen3-8B,native_thinking,1,2,fisher_nearest,0.09156009521462947,higher,0.09156009521462947,non_thinking,0.45836667746028403,higher,0.45836667746028403,-0.36680658224565454
Qwen3-8B,native_thinking,1,2,min_bhattacharyya,1.1572992652654648,higher,1.1572992652654648,non_thinking,1.4279760122299194,higher,1.4279760122299194,-0.27067674696445465
Qwen3-8B,native_thinking,1,2,mean_bhattacharyya,1.620701750119527,higher,1.620701750119527,non_thinking,3.397646122508579,higher,3.397646122508579,-1.7769443723890517
Qwen3-8B,native_thinking,1,2,nc2_class_cosine_deviation,0.21828588112084954,lower,-0.21828588112084954,non_thinking,0.6214311748375128,lower,-0.6214311748375128,0.4031452937166632
Qwen3-8B,native_thinking,1,3,logistic_precision,0.2,higher,0.2,non_thinking,0.2857142857142857,higher,0.2857142857142857,-0.08571428571428569
Qwen3-8B,native_thinking,1,3,logistic_recall,0.2222222222222222,higher,0.2222222222222222,non_thinking,0.2222222222222222,higher,0.2222222222222222,0.0
Qwen3-8B,native_thinking,1,3,logistic_f1,0.21052631578947367,higher,0.21052631578947367,non_thinking,0.25,higher,0.25,-0.03947368421052633
Qwen3-8B,native_thinking,1,3,ncc_recall,0.4444444444444444,higher,0.4444444444444444,non_thinking,0.2222222222222222,higher,0.2222222222222222,0.2222222222222222
Qwen3-8B,native_thinking,1,3,silhouette_cosine,-0.17635175585746765,higher,-0.17635175585746765,non_thinking,-0.12347931414842606,higher,-0.12347931414842606,-0.052872441709041595
Qwen3-8B,native_thinking,1,3,within_trace,1922.6832275390625,lower,-1922.6832275390625,non_thinking,2934.166259765625,lower,-2934.166259765625,1011.4830322265625
