model_label,seed,gold_count,patch_layer,normalized_recovery_full_minus_endpoint,expected_absolute_error_reduction_full_minus_endpoint,strict_absolute_error_reduction_full_minus_endpoint,clean_strict_correct
Gemma4-E4B,1234,5,35,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,36,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,37,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,38,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,39,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,40,0.0,0.0,0.0,True
Gemma4-E4B,1234,5,41,0.0,0.0,0.0,True
Gemma4-E4B,1234,6,0,0.9440167507502764,3.998636242194526,9.0,False
Gemma4-E4B,1234,6,1,0.9585698426882205,4.060279767918836,9.0,False
Gemma4-E4B,1234,6,2,1.0729293726165703,4.544680241372717,10.0,False
Gemma4-E4B,1234,6,3,0.9989651396449315,4.231384886866077,9.0,False
Gemma4-E4B,1234,6,4,1.121993221475224,4.752503337808074,10.0,False
Gemma4-E4B,1234,6,5,0.9854297287199492,4.1740520221318285,9.0,False
Gemma4-E4B,1234,6,6,1.0159187146079853,4.303196302530206,9.0,False
Gemma4-E4B,1234,6,7,0.978430979053911,4.144406940047824,9.0,False
Gemma4-E4B,1234,6,8,0.9713668211174158,4.114484803684241,9.0,False
Gemma4-E4B,1234,6,9,1.0831609997325091,4.588019043327127,10.0,False
Gemma4-E4B,1234,6,10,0.9884508399228092,4.1868487492427136,9.0,False
Gemma4-E4B,1234,6,11,0.7443541919557904,3.1529119018473875,8.0,False
Gemma4-E4B,1234,6,12,0.6755068826450702,2.8612906504568523,8.0,False
Gemma4-E4B,1234,6,13,0.7098773301439717,3.006875902964631,8.0,False
Gemma4-E4B,1234,6,14,0.6468643227063048,2.7399674025914402,8.0,False
Gemma4-E4B,1234,6,15,0.5779690288379654,2.448142899732105,7.0,False
Gemma4-E4B,1234,6,16,0.7283225871478385,3.0850057381541394,8.0,False
Gemma4-E4B,1234,6,17,0.028832131569714096,0.12212622937331474,0.0,False
Gemma4-E4B,1234,6,18,0.0400478250823789,0.16963330859139436,0.0,False
Gemma4-E4B,1234,6,19,0.036139218535695884,0.1530773568229291,0.0,False
Gemma4-E4B,1234,6,20,-0.01582218388683705,-0.06701910519097254,0.0,False
Gemma4-E4B,1234,6,21,-0.015326022995293512,-0.06491748260714836,0.0,False
Gemma4-E4B,1234,6,22,-0.010857134769250239,-0.04598830745345417,0.0,False
Gemma4-E4B,1234,6,23,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,24,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,25,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,26,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,27,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,28,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,29,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,30,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,31,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,32,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,33,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,34,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,35,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,36,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,37,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,38,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,39,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,40,0.0,0.0,0.0,False
Gemma4-E4B,1234,6,41,0.0,0.0,0.0,False
Gemma4-E4B,1234,7,0,0.9009025939648857,5.037604104402934,9.0,True
Gemma4-E4B,1234,7,1,0.9304072321102348,5.202586076056273,9.0,True
Gemma4-E4B,1234,7,2,0.9838433717099146,5.501386543469832,10.0,True
Gemma4-E4B,1234,7,3,0.9374666045447999,5.2420601810140175,9.0,True
Gemma4-E4B,1234,7,4,0.9775059204543435,5.465949226860481,10.0,True
Gemma4-E4B,1234,7,5,0.921134655454951,5.1507363305566285,9.0,True
Gemma4-E4B,1234,7,6,0.9592657071114314,5.3639548778409685,9.0,True
Gemma4-E4B,1234,7,7,0.9606125105057047,5.37148583884859,9.0,True
Gemma4-E4B,1234,7,8,0.9502311588494526,5.313436122860289,9.0,True
Gemma4-E4B,1234,7,9,0.9358090646923295,5.23279166561629,9.0,True
Gemma4-E4B,1234,7,10,0.8729333358515545,4.881207563408721,9.0,True
Gemma4-E4B,1234,7,11,0.8005207215654351,4.47629577229835,9.0,True
Gemma4-E4B,1234,7,12,0.8270898796340863,4.624863331803439,9.0,True
Gemma4-E4B,1234,7,13,0.7097687998622855,3.968835524856705,8.0,True
Gemma4-E4B,1234,7,14,0.7168173945759712,4.0082493637087655,8.0,True
Gemma4-E4B,1234,7,15,0.7078553835736037,3.958136217502207,8.0,True
Gemma4-E4B,1234,7,16,0.6922206320709633,3.870710907742148,8.0,True
Gemma4-E4B,1234,7,17,0.02309566568006521,0.12914472774661512,0.0,True
Gemma4-E4B,1234,7,18,-0.001669963911296938,-0.0093379873807784,0.0,True
Gemma4-E4B,1234,7,19,0.026472237169869798,0.14802560400315823,0.0,True
Gemma4-E4B,1234,7,20,-0.00769247931946378,-0.043014267749212465,0.0,True
Gemma4-E4B,1234,7,21,-0.0038636614956939555,-0.02160455207823464,0.0,True
Gemma4-E4B,1234,7,22,0.009828877843311072,0.05496043156810959,0.0,True
Gemma4-E4B,1234,7,23,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,24,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,25,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,26,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,27,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,28,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,29,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,30,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,31,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,32,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,33,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,34,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,35,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,36,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,37,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,38,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,39,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,40,0.0,0.0,0.0,True
Gemma4-E4B,1234,7,41,0.0,0.0,0.0,True
Gemma4-E4B,1234,8,0,0.9659880841880877,6.107323092867252,9.0,False
Gemma4-E4B,1234,8,1,0.95507391777357,6.0383198187339024,9.0,False
Gemma4-E4B,1234,8,2,1.0123101654236821,6.400187902558563,10.0,False
Gemma4-E4B,1234,8,3,0.9931717855452687,6.279188201522147,9.0,False
Gemma4-E4B,1234,8,4,0.9837363281280604,6.219533855967444,9.0,False
Gemma4-E4B,1234,8,5,0.955967307928674,6.043968151683882,9.0,False
Gemma4-E4B,1234,8,6,0.9870656826476072,6.240583229219973,9.0,False
Gemma4-E4B,1234,8,7,0.9481487765173245,5.994536592203543,9.0,False
Gemma4-E4B,1234,8,8,0.9515244018403962,6.0158785060696855,9.0,False
Gemma4-E4B,1234,8,9,0.9194857600646669,5.813318723000028,9.0,False
Gemma4-E4B,1234,8,10,0.8915478520567506,5.636685249424049,9.0,False
Gemma4-E4B,1234,8,11,0.8936716049625228,5.650112376918969,9.0,False
Gemma4-E4B,1234,8,12,0.8925152274292609,5.642801343451202,9.0,False
Gemma4-E4B,1234,8,13,0.86051627943026,5.440492518673085,9.0,False
Gemma4-E4B,1234,8,14,0.827681139998262,5.232896991778871,8.0,False
Gemma4-E4B,1234,8,15,0.8234692058349246,5.2062676335057745,9.0,False
Gemma4-E4B,1234,8,16,0.7922286737529941,5.008753786140049,8.0,False
Gemma4-E4B,1234,8,17,-0.009390865548939205,-0.05937241977187835,0.0,False
Gemma4-E4B,1234,8,18,-0.005490660194825226,-0.03471392282351804,0.0,False
Gemma4-E4B,1234,8,19,-0.008417220369775914,-0.05321668577857519,0.0,False
Gemma4-E4B,1234,8,20,-0.016212395718040166,-0.10250057985208993,0.0,False
Gemma4-E4B,1234,8,21,0.00044132584141088303,0.0027902202385785557,0.0,False
Gemma4-E4B,1234,8,22,0.000997035547472208,0.006303616290054492,0.0,False
Gemma4-E4B,1234,8,23,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,24,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,25,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,26,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,27,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,28,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,29,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,30,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,31,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,32,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,33,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,34,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,35,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,36,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,37,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,38,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,39,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,40,0.0,0.0,0.0,False
Gemma4-E4B,1234,8,41,0.0,0.0,0.0,False
