scheme,held_out,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
needle,N=5,True,Gemma4-E4B,0.19452077117326164,1.2147287139635865,0.7495862972060705,0.0
needle,N=5,True,Llama3.1-8B,-0.8923605763666972,0.40968751174058726,0.7495862972060705,0.0
needle,N=5,True,Llama3.2-3B,-0.7278878587506455,0.4829279256357035,0.7495862972060705,0.0
needle,N=5,True,OLMo-Hybrid-7B,-0.9724969357776656,0.378137672852183,0.7495862972060705,0.0
needle,N=5,True,Qwen3-1.7B,0.19935537803378509,1.2206156688274563,0.7495862972060705,0.0
needle,N=5,True,Qwen3-32B,0.2843050685441284,1.3288382556757503,0.7495862972060705,0.0
needle,N=5,True,Qwen3-8B,-1.498782800146291,0.22340191950589297,0.7495862972060705,0.0
needle,N=6,True,Gemma4-12B,-0.1557042017500517,0.8558123007152103,0.7429910966077227,0.0
needle,N=6,True,Gemma4-E4B,0.24308242860767051,1.2751737305816602,0.7429910966077227,0.0
needle,N=6,True,Llama3.1-8B,-0.8054096379326712,0.44690481989167735,0.7429910966077227,0.0
needle,N=6,True,Llama3.2-3B,-0.7391445837239666,0.4775222211406317,0.7429910966077227,0.0
needle,N=6,True,OLMo-Hybrid-7B,-0.943281965189633,0.3893479098850684,0.7429910966077227,0.0
needle,N=6,True,Qwen3-1.7B,0.16029695407066125,1.173859401568142,0.7429910966077227,0.0
needle,N=6,True,Qwen3-32B,0.309674192786997,1.3629809727517654,0.7429910966077227,0.0
needle,N=6,True,Qwen3-8B,-1.4691359837245805,0.2301242303952423,0.7429910966077227,0.0
needle,N=8,True,Gemma4-12B,-0.18333942195913502,0.8324855439032098,0.7438985837624095,0.0
needle,N=8,True,Gemma4-E4B,0.12820296028065808,1.1367837012239974,0.7438985837624095,0.0
needle,N=8,True,Llama3.1-8B,-0.9336397804210738,0.3931202318576033,0.7438985837624095,0.0
needle,N=8,True,Llama3.2-3B,-0.8041864474067786,0.44745180409809454,0.7438985837624095,0.0
needle,N=8,True,OLMo-Hybrid-7B,-0.9037770416054635,0.40503692564263927,0.7438985837624095,0.0
needle,N=8,True,Qwen3-1.7B,0.26521479656053204,1.303710978339574,0.7438985837624095,0.0
needle,N=8,True,Qwen3-32B,0.3259516002640454,1.3853483167574092,0.7438985837624095,0.0
needle,N=8,True,Qwen3-8B,-1.4768096047967667,0.22836510232487592,0.7438985837624095,0.0
needle,N=10,True,Gemma4-12B,-0.26632875174209675,0.7661872007155959,0.7455490653428729,0.0
needle,N=10,True,Gemma4-E4B,0.2772158335810008,1.3194511221650778,0.7455490653428729,0.0
needle,N=10,True,Llama3.1-8B,-0.9240875714343323,0.39689339078049113,0.7455490653428729,0.0
needle,N=10,True,Llama3.2-3B,-0.7817807404998777,0.45759043553542533,0.7455490653428729,0.0
needle,N=10,True,OLMo-Hybrid-7B,-0.9091617146054896,0.4028617956825032,0.7455490653428729,0.0
needle,N=10,True,Qwen3-1.7B,0.18149901344428385,1.1990133538156522,0.7455490653428729,0.0
needle,N=10,True,Qwen3-32B,0.33920431448654464,1.4038301387476857,0.7455490653428729,0.0
needle,N=10,True,Qwen3-8B,-1.4476679504911218,0.2351179559650337,0.7455490653428729,0.0
needle,N=20,True,Gemma4-12B,-0.345787909751917,0.707662559519299,0.7346384016783578,0.0
