mode,target,candidate,link,term,estimate,kind
direct,asinh_signed_error,exponential_separable,identity,Llama3.2-3B::intercept,1.4194546184915289,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.2-3B::query_last,-1.510514262504166,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.2-3B::raw_L,-1.001012901868312,continuous
direct,asinh_signed_error,exponential_separable,identity,Llama3.2-3B::raw_N,-0.09941069053652038,continuous
direct,asinh_signed_error,exponential_separable,identity,OLMo-Hybrid-7B::intercept,-0.06383441370276025,continuous
direct,asinh_signed_error,exponential_separable,identity,OLMo-Hybrid-7B::query_last,0.09904550808149055,continuous
direct,asinh_signed_error,exponential_separable,identity,OLMo-Hybrid-7B::raw_L,0.03199191365554128,continuous
direct,asinh_signed_error,exponential_separable,identity,OLMo-Hybrid-7B::raw_N,-0.28884876760727557,continuous
direct,asinh_signed_error,exponential_separable,identity,Qwen3-1.7B::intercept,-1.6702322658002073,continuous
direct,asinh_signed_error,exponential_separable,identity,Qwen3-1.7B::query_last,2.1101285589098175,continuous
direct,asinh_signed_error,exponential_separable,identity,Qwen3-1.7B::raw_L,0.6931211730509683,continuous
