draw,sampled_seeds,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
121,"1234,1237,1238,1236,1235",True,Qwen3-1.7B,0.1988834397753293,1.2200397495043367,0.7474684310931273,0.0
121,"1234,1237,1238,1236,1235",True,Qwen3-32B,0.20720303722633954,1.2302323293847606,0.7474684310931273,0.0
121,"1234,1237,1238,1236,1235",True,Qwen3-8B,-1.4905161477543158,0.22525635996482954,0.7474684310931273,0.0
122,"1234,1237,1237,1234,1237",True,Gemma4-12B,-0.8867415275205465,0.411996045689147,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,Gemma4-E4B,-0.2153948820471812,0.8062230143167587,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,Llama3.1-8B,-1.0436372648879675,0.3521714088714506,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,Llama3.2-3B,-0.8148459349241642,0.44270752787641277,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,OLMo-Hybrid-7B,-0.8362698849447389,0.4333238604477571,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,Qwen3-1.7B,-0.34429558237576346,0.7087194121188441,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,Qwen3-32B,0.19733347032941928,1.2181501899279046,0.715012975876861,0.0
122,"1234,1237,1237,1234,1237",True,Qwen3-8B,-1.2143760615524608,0.29689520084623044,0.715012975876861,0.0
123,"1236,1237,1237,1236,1236",True,Gemma4-12B,-0.9671410817905053,0.3801683561825236,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,Gemma4-E4B,0.7942316584804144,2.2127402033223533,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,Llama3.1-8B,-0.649775155484084,0.5221631690879938,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,Llama3.2-3B,-0.8446204244907305,0.4297204386124477,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,OLMo-Hybrid-7B,-0.5760350355387054,0.5621227505784336,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,Qwen3-1.7B,0.1629167698455586,1.1769387288197068,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,Qwen3-32B,-10.509197518766209,2.728434349150435e-05,0.7185103216210071,0.0
123,"1236,1237,1237,1236,1236",True,Qwen3-8B,-0.8564702538056966,0.42465837628280734,0.7185103216210071,0.0
124,"1237,1236,1238,1237,1236",True,Gemma4-12B,-0.48506514466157885,0.6156570886851946,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,Gemma4-E4B,0.6506180110838244,1.9167250203617434,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,Llama3.1-8B,-0.7752023642579233,0.46061056045277293,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,Llama3.2-3B,-0.7403255156116394,0.4769586327678532,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,OLMo-Hybrid-7B,-0.6341083641087625,0.5304082085348307,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,Qwen3-1.7B,0.3343877964727004,1.3970848231034743,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,Qwen3-32B,-1.171018048891074,0.31005113332634066,0.6900612162034956,0.0
124,"1237,1236,1238,1237,1236",True,Qwen3-8B,-1.0836021860409515,0.33837443999211236,0.6900612162034956,0.0
125,"1237,1238,1237,1234,1234",True,Gemma4-12B,-0.3371861677282901,0.7137759454864988,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,Gemma4-E4B,-0.16177159614318334,0.85063547077608,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,Llama3.1-8B,-1.2649319336872082,0.28225850778256195,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,Llama3.2-3B,-0.812632665519934,0.44368844401830343,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,OLMo-Hybrid-7B,-0.9656660660042307,0.3807295242734883,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,Qwen3-1.7B,-0.08682446149306451,0.9168380218858255,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,Qwen3-32B,0.5004657279639737,1.6494893051343658,0.7372658536675097,0.0
125,"1237,1238,1237,1234,1234",True,Qwen3-8B,-1.5420591782926991,0.2139401067157489,0.7372658536675097,0.0
126,"1238,1236,1235,1237,1237",True,Gemma4-12B,-0.39480538641599405,0.6738111592942363,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,Gemma4-E4B,0.4387550174948829,1.550775328023183,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,Llama3.1-8B,-0.6000179545866069,0.5488017824964342,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,Llama3.2-3B,-0.6304389490819717,0.532358071626181,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,OLMo-Hybrid-7B,-0.6906169890563812,0.5012666975697271,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,Qwen3-1.7B,0.31430781477644987,1.3693111658933779,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,Qwen3-32B,-0.4090615326578839,0.664273356559442,0.676204142225378,0.0
126,"1238,1236,1235,1237,1237",True,Qwen3-8B,-1.1398497089563926,0.31986709136297886,0.676204142225378,0.0
127,"1237,1237,1236,1235,1236",True,Gemma4-12B,-0.8537441023044106,0.4258176387975065,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,Gemma4-E4B,0.5971666736854921,1.8169634500888545,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,Llama3.1-8B,-0.46747179927679444,0.6265843985981606,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,Llama3.2-3B,-0.7326692443662977,0.480624372475229,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,OLMo-Hybrid-7B,-0.6372046211855849,0.5287684682043408,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,Qwen3-1.7B,0.1478042732441622,1.1592859708738361,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,Qwen3-32B,-1.2780838941573844,0.2785705600768443,0.7032584466553491,0.0
127,"1237,1237,1236,1235,1236",True,Qwen3-8B,-0.9233556889462515,0.3971839764271403,0.7032584466553491,0.0
128,"1234,1237,1236,1237,1234",True,Gemma4-12B,-0.756228247303217,0.469433679842402,0.7663704351807682,0.0
128,"1234,1237,1236,1237,1234",True,Gemma4-E4B,0.020413589780684225,1.0206233721433005,0.7663704351807682,0.0
128,"1234,1237,1236,1237,1234",True,Llama3.1-8B,-1.1106947218011316,0.32933008879065995,0.7663704351807682,0.0
128,"1234,1237,1236,1237,1234",True,Llama3.2-3B,-0.9190232866286092,0.39890847011000485,0.7663704351807682,0.0
128,"1234,1237,1236,1237,1234",True,OLMo-Hybrid-7B,-0.916128142949963,0.400065040856995,0.7663704351807682,0.0
