mode,target,model_label,candidate,link,intercept,query_last,length_order_log,needle_order_log,log_interaction,density_order,burden_order,raw_length_order,raw_needle_order
enumeration,listed_record_ratio,Gemma4-12B,intercept_only,identity,0.9999999422333394,0.13350004886665753,,,,,,,
enumeration,listed_record_ratio,Gemma4-E4B,intercept_only,identity,0.9996665975111202,-0.03766659500001365,,,,,,,
enumeration,listed_record_ratio,Llama3.1-8B,intercept_only,identity,6.324276999622353,-5.348054420863169,,,,,,,
enumeration,listed_record_ratio,Llama3.2-3B,intercept_only,identity,8.37327670697055,-7.688831749937322,,,,,,,
enumeration,listed_record_ratio,OLMo-Hybrid-7B,intercept_only,identity,0.6367777333333402,-0.02988884245186196,,,,,,,
enumeration,listed_record_ratio,Qwen3-1.7B,intercept_only,identity,0.8859443948333398,0.1417778179370281,,,,,,,
enumeration,listed_record_ratio,Qwen3-32B,intercept_only,identity,0.9995554888666759,-0.0007777110370508244,,,,,,,
enumeration,listed_record_ratio,Qwen3-8B,intercept_only,identity,0.996166582844457,-0.26116656543335265,,,,,,,
enumeration,listed_total_consistent,Gemma4-12B,piecewise_power,logistic,13.377081798721523,1.8253094045969005,-0.8650828689157617,-0.26511451968783806,,,,,
enumeration,listed_total_consistent,Gemma4-E4B,piecewise_power,logistic,3.7351849046098673,1.1406041097927988,-4.2601505595475826e-05,-0.4965975359795229,,,,,
enumeration,listed_total_consistent,Llama3.1-8B,piecewise_power,logistic,0.8074857755367453,0.2475344081767087,0.21466870130085727,0.19705681557387222,,,,,
enumeration,listed_total_consistent,Llama3.2-3B,piecewise_power,logistic,-3.452664358758862,-0.5085713684274519,2.232448334786525,-3.040564117591996,,,,,
enumeration,listed_total_consistent,OLMo-Hybrid-7B,piecewise_power,logistic,-2.8430874296849566,0.8540380863129728,-0.7650629466393059,-1.888717115605401,,,,,
enumeration,listed_total_consistent,Qwen3-1.7B,piecewise_power,logistic,-1.8362136554291983,1.9720987912364316,0.08846466681128544,-2.186016946378805,,,,,
enumeration,listed_total_consistent,Qwen3-32B,piecewise_power,logistic,0.05573025384910269,14.178304195208812,0.7551975896451761,-1.8697793126171869,,,,,
enumeration,listed_total_consistent,Qwen3-8B,piecewise_power,logistic,-2.3757732504926374,2.323816126310326,-2.8672223769065885,-0.9283279276004088,,,,,
enumeration,log1p_absolute_error,Gemma4-12B,piecewise_power,identity,-0.003504130097770065,0.21891609497128825,0.16170584233679247,0.058326215789889536,,,,,
enumeration,log1p_absolute_error,Gemma4-E4B,piecewise_power,identity,0.25531746241031994,-0.04360710882977877,0.08164820795821592,0.13564286912132895,,,,,
enumeration,log1p_absolute_error,Llama3.1-8B,piecewise_power,identity,0.8885392152497736,-0.10445851245725692,-0.12808683576851995,-0.3663266411860708,,,,,
enumeration,log1p_absolute_error,Llama3.2-3B,piecewise_power,identity,5.483218988962635,-0.36186598001683573,-0.2767274481639119,1.250725072653689,,,,,
enumeration,log1p_absolute_error,OLMo-Hybrid-7B,piecewise_power,identity,2.56690718358563,-0.3099525105019153,0.6413040453568851,1.3128869810076462,,,,,
enumeration,log1p_absolute_error,Qwen3-1.7B,piecewise_power,identity,4.125805687700887,-1.8418387800422065,0.06424314953501858,1.7575745417105255,,,,,
enumeration,log1p_absolute_error,Qwen3-32B,piecewise_power,identity,3.045172291395583,-3.0306241449831823,-0.49890717977730853,1.2543601821390808,,,,,
enumeration,log1p_absolute_error,Qwen3-8B,piecewise_power,identity,4.534297206892646,-3.910528603499223,1.301046295062747,1.0184859743170749,,,,,
enumeration,log1p_duplicate_rate,Gemma4-12B,intercept_only,identity,2.354807248416161e-09,0.03532211106737226,,,,,,,
enumeration,log1p_duplicate_rate,Gemma4-E4B,intercept_only,identity,1.8479199646608146e-10,0.002771880130943306,,,,,,,
enumeration,log1p_duplicate_rate,Llama3.1-8B,intercept_only,identity,0.1636792242903363,-0.1622451376098808,,,,,,,
enumeration,log1p_duplicate_rate,Llama3.2-3B,intercept_only,identity,0.259318406042682,-0.2428909240385698,,,,,,,
enumeration,log1p_duplicate_rate,OLMo-Hybrid-7B,intercept_only,identity,0.04437658795612301,-0.007070506176828041,,,,,,,
enumeration,log1p_duplicate_rate,Qwen3-1.7B,intercept_only,identity,1.3962738277565092e-09,0.020944108802927245,,,,,,,
enumeration,log1p_duplicate_rate,Qwen3-32B,intercept_only,identity,0.0,0.0,,,,,,,
enumeration,log1p_duplicate_rate,Qwen3-8B,intercept_only,identity,0.0,0.0,,,,,,,
enumeration,log1p_hallucination_rate,Gemma4-12B,intercept_only,identity,0.0,0.0,,,,,,,
enumeration,log1p_hallucination_rate,Gemma4-E4B,intercept_only,identity,3.080653518401884e-10,0.004620980587602244,,,,,,,
enumeration,log1p_hallucination_rate,Llama3.1-8B,intercept_only,identity,0.08710234141359295,0.10595770121950314,,,,,,,
enumeration,log1p_hallucination_rate,Llama3.2-3B,intercept_only,identity,0.34160744193923354,-0.3006436910875695,,,,,,,
enumeration,log1p_hallucination_rate,OLMo-Hybrid-7B,intercept_only,identity,0.029157719014964088,-0.0241181562826956,,,,,,,
enumeration,log1p_hallucination_rate,Qwen3-1.7B,intercept_only,identity,0.02606626981661897,-0.010606828107373756,,,,,,,
enumeration,log1p_hallucination_rate,Qwen3-32B,intercept_only,identity,0.0,0.0,,,,,,,
enumeration,log1p_hallucination_rate,Qwen3-8B,intercept_only,identity,3.080653518401884e-10,0.004620980587602244,,,,,,,
enumeration,log1p_output_tokens,Gemma4-12B,root_separable,identity,3.7648167262898404,0.005859706528741811,,,,,,,
enumeration,log1p_output_tokens,Gemma4-E4B,root_separable,identity,3.7605380055233892,-0.03552592681044409,,,,,,,
enumeration,log1p_output_tokens,Llama3.1-8B,root_separable,identity,3.7737304815380313,0.019323284542676716,,,,,,,
enumeration,log1p_output_tokens,Llama3.2-3B,root_separable,identity,4.277627946351333,-0.6710464810999438,,,,,,,
enumeration,log1p_output_tokens,OLMo-Hybrid-7B,root_separable,identity,4.332650789406703,-0.4659335150782365,,,,,,,
enumeration,log1p_output_tokens,Qwen3-1.7B,root_separable,identity,3.704942119300094,0.0481203588339136,,,,,,,
enumeration,log1p_output_tokens,Qwen3-32B,root_separable,identity,3.8165436146404472,-0.014777865395107111,,,,,,,
enumeration,log1p_output_tokens,Qwen3-8B,root_separable,identity,3.8256897586642573,0.007959301415277977,,,,,,,
enumeration,log1p_relative_error,Gemma4-12B,piecewise_power,identity,0.016976652043689214,0.03943578345445702,0.038214358219127255,0.016977203578469335,,,,,
enumeration,log1p_relative_error,Gemma4-E4B,piecewise_power,identity,0.16094447226016842,-0.14000765528906473,-0.03233165735341544,0.06121179049374383,,,,,
enumeration,log1p_relative_error,Llama3.1-8B,piecewise_power,identity,0.7677213523813847,-0.2953286899765233,-0.228328912082878,-0.4184498223251172,,,,,
enumeration,log1p_relative_error,Llama3.2-3B,piecewise_power,identity,3.805002889209032,-0.15811116563304575,-0.4610743956592721,0.24857890739813368,,,,,
enumeration,log1p_relative_error,OLMo-Hybrid-7B,piecewise_power,identity,1.7820153048266252,-0.3135052620232272,0.3902075388702101,0.785980704866898,,,,,
enumeration,log1p_relative_error,Qwen3-1.7B,piecewise_power,identity,2.700277958440898,-1.3392308778657174,0.08489085429365976,0.9014074597412403,,,,,
enumeration,log1p_relative_error,Qwen3-32B,piecewise_power,identity,2.1245100693080112,-2.07716197719209,-0.3329323225985203,0.7597227702424645,,,,,
enumeration,log1p_relative_error,Qwen3-8B,piecewise_power,identity,3.207356802209765,-2.726033843475088,0.9011154957106106,0.6050745321326779,,,,,
enumeration,missing_fraction,Gemma4-12B,exponential_separable,identity,-0.00802016881548481,0.026499995931989283,,,,,,0.01718112105225943,0.007345326892984454
enumeration,missing_fraction,Gemma4-E4B,exponential_separable,identity,0.00022206010066505737,0.04766666032591597,,,,,,0.014285713194685853,-0.002299340209807454
enumeration,missing_fraction,Llama3.1-8B,exponential_separable,identity,0.03321925483818964,0.3029444062664739,,,,,,-0.1199234598709671,-0.005920937302486576
enumeration,missing_fraction,Llama3.2-3B,exponential_separable,identity,0.27790007054183913,0.13916666663778268,,,,,,0.25747872462730914,-0.028144613628114823
enumeration,missing_fraction,OLMo-Hybrid-7B,exponential_separable,identity,0.5751738441171459,-0.01788884815878539,,,,,,0.03321428904149635,-0.0660145441227536
