candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,direction,selected_one_se
root_separable,identity,2,separate square-root L and N coordinates,0.9789481710386633,0.03187324405561342,0.07839856055258984,1.0111638667076812,0.06374074191598778,-0.02245236533522932,0.07340300196746201,0.9467324753696453,0.060023180768691925,0.10369762008046401,native_thinking,under_log1p_relative_magnitude,under,False
inverse_separable,identity,2,separate inverse L and N coordinates,0.9510392943947745,0.0342096669214871,0.07602012772069411,0.9804874700742133,0.06195439927256429,0.03864432102746862,0.0714537173490798,0.9215911187153357,0.057693944885311974,0.15066980990501622,native_thinking,under_log1p_relative_magnitude,under,False
logL_rawN,identity,2,log length plus raw/scaled needle count,1.0247591419404376,0.03701747079080969,0.08178721688608558,1.0548698584627534,0.06506156295544781,-0.11275041829322907,0.07711806896599067,0.9946484254181217,0.061357825629848615,0.01067450981325102,native_thinking,under_log1p_relative_magnitude,under,False
rawL_logN,identity,2,raw/scaled length plus log needle count,0.9632883105892769,0.03396638657123451,0.07731027627465718,0.9971274643707608,0.06305627621813491,0.005736819797537263,0.07206297455802453,0.929449156807793,0.059188606178209674,0.13612426490928253,native_thinking,under_log1p_relative_magnitude,under,False
intercept_only,identity,0,Model and query-order baselines only,1.3696064154719276,0.16926297251704103,0.4398224390032241,1.2165819193514542,0.3404671687908288,-0.4800715664928681,0.5504662124152518,1.522630911592401,0.45381713426105547,-1.318404892936706,native_thinking,over_log1p_relative_magnitude,over,False
log_density,identity,1,log(N/L) density coordinate,1.1405663667140824,0.1366645803585987,0.3717589785827333,1.0283132727955302,0.2770865952868725,-0.05742818700745467,0.45292314643299203,1.2528194606326348,0.33940508210323084,-0.5695566009398461,native_thinking,over_log1p_relative_magnitude,over,True
log_burden,identity,1,log(N×L) burden coordinate,1.2714190081728338,0.164540828261615,0.4547442269835211,1.2578567062913086,0.33580701605529334,-0.5822034935620193,0.4645503972005013,1.2849813100543588,0.3490231837332611,-0.6511769671890164,native_thinking,over_log1p_relative_magnitude,over,False
power_separable,identity,2,separate log L and log N orders,1.1524555495053845,0.16383657884877745,0.3657885018306886,1.0117984854124507,0.2585479758259247,-0.0237361750829288,0.4674900510783811,1.2931126135983186,0.35003379832163356,-0.6721402314470746,native_thinking,over_log1p_relative_magnitude,over,False
power_interaction,identity,3,power surface plus log L × log N,1.3197554972425958,0.19099154836941368,0.43300691595186713,1.1977296703984552,0.287128598884303,-0.43455636335279246,0.5212372207595953,1.441781324086736,0.393326955667088,-1.0787333864853013,native_thinking,over_log1p_relative_magnitude,over,False
power_quadratic,identity,5,quadratic response surface in log coordinates,6.027359733331568,1.5940777738748046,3.415657993792418,9.447966700729555,1.3126972228201155,-88.26407477809452,0.9424012811258101,2.6067527659335794,0.7144293717447167,-5.795159982702366,native_thinking,over_log1p_relative_magnitude,over,False
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",1.4311136990444853,0.23222754077770205,0.3731578001991276,1.0321825185092324,0.2618120043276595,-0.06540075151606195,0.6616034560592534,1.8300448795797382,0.5439581337046774,-2.349064261276019,native_thinking,over_log1p_relative_magnitude,over,False
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,1.9482668887986856,0.31089176044756933,0.811973191883617,2.2459788692965166,0.4900959899952479,-4.044421081326459,0.5967136893376,1.6505549083008548,0.46467429839057767,-1.7243315053160426,native_thinking,over_log1p_relative_magnitude,over,False
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",2.195819093326734,0.38600030273028485,0.7711273239564542,2.1329961290047246,0.4144117101498556,-3.54967248634914,0.8165512267023513,2.258642057648743,0.5105087592514347,-4.1014639445797485,native_thinking,over_log1p_relative_magnitude,over,False
root_separable,identity,2,separate square-root L and N coordinates,1.4041111843814513,0.1807382468590448,0.4636785585307674,1.2825697387743817,0.33022560772161175,-0.6449851348197857,0.5515586333478847,1.5256526299885207,0.43692394976108195,-1.327615947390889,native_thinking,over_log1p_relative_magnitude,over,False
inverse_separable,identity,2,separate inverse L and N coordinates,1.1561550774407756,0.19356445034820016,0.3676269993503745,1.0168839077167136,0.2509912143939588,-0.03405288177321375,0.46832648300458357,1.295426247164838,0.3415609558600029,-0.6781291618435759,native_thinking,over_log1p_relative_magnitude,over,False
logL_rawN,identity,2,log length plus raw/scaled needle count,1.947445772403438,0.29854450143397465,0.8108314727530573,2.2428207883801257,0.4946122288922307,-4.030245088790048,0.597261703416459,1.6520707564267503,0.4667474066702528,-1.729337784240455,native_thinking,over_log1p_relative_magnitude,over,False
rawL_logN,identity,2,raw/scaled length plus log needle count,1.1590426221546812,0.17007949942846623,0.3705370373615637,1.024933291547747,0.2588974491396822,-0.05048825212289887,0.4675042730937459,1.2931519527616155,0.3505089978757603,-0.6722419729311799,native_thinking,over_log1p_relative_magnitude,over,False
