scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,kind
cell,cell_fold=0,logL_rawN,identity,405,0.5044830366212839,0.5648491599168816,0.3852276418322133,0.4915824209026277,direct,log1p_absolute_error,continuous
cell,cell_fold=1,logL_rawN,identity,399,0.535172822874631,0.5992112667170062,0.42551877407436217,0.7068558277140229,direct,log1p_absolute_error,continuous
cell,cell_fold=2,logL_rawN,identity,402,0.6118800366208891,0.6850972174802327,0.43188793636674044,0.529665701141502,direct,log1p_absolute_error,continuous
cell,cell_fold=3,logL_rawN,identity,404,0.5137982083233243,0.5752789792139157,0.4100564245703477,0.6328758053081918,direct,log1p_absolute_error,continuous
cell,cell_fold=4,logL_rawN,identity,403,0.5333262213297904,0.597143701991163,0.4238218489294454,0.6653764717347758,direct,log1p_absolute_error,continuous
seed,seed=1234,rawL_logN,identity,405,0.5378433135179593,0.6022013065933763,0.40059949131214784,0.6339685517294416,direct,log1p_absolute_error,continuous
seed,seed=1235,rawL_logN,identity,407,0.5723931042260489,0.6408853035568237,0.4375285939054664,0.6133788586246052,direct,log1p_absolute_error,continuous
seed,seed=1236,rawL_logN,identity,403,0.5180973124413027,0.580092511430378,0.4159577550404345,0.6523196265532011,direct,log1p_absolute_error,continuous
seed,seed=1237,rawL_logN,identity,399,0.5459125601900611,0.6112361142539565,0.4198808563772704,0.618479915609969,direct,log1p_absolute_error,continuous
seed,seed=1238,rawL_logN,identity,399,0.48861566133314016,0.5470831044680793,0.3785132361915086,0.6965292953361049,direct,log1p_absolute_error,continuous
cell,cell_fold=0,rawL_logN,identity,405,0.5194343155086518,0.5815894994449926,0.40542964318425906,0.46100008397072967,direct,log1p_absolute_error,continuous
cell,cell_fold=1,rawL_logN,identity,399,0.5689432124852097,0.6370225999371576,0.4475135503716408,0.668692700830553,direct,log1p_absolute_error,continuous
cell,cell_fold=2,rawL_logN,identity,402,0.5594072950937471,0.6263456206601556,0.42264448200605037,0.60687529783616,direct,log1p_absolute_error,continuous
cell,cell_fold=3,rawL_logN,identity,404,0.5068501816285936,0.5674995560089588,0.37425553036957665,0.6427378160008821,direct,log1p_absolute_error,continuous
cell,cell_fold=4,rawL_logN,identity,403,0.5315956960574378,0.5952061031516661,0.42118239955894504,0.6675445068516174,direct,log1p_absolute_error,continuous
seed,seed=1234,intercept_only,identity,405,0.22627209182528665,0.8149653531121892,0.15743860655031408,0.28720381497929093,direct,log1p_relative_error,continuous
seed,seed=1235,intercept_only,identity,407,0.300653011082872,1.0828634913164035,0.17452568493491372,0.32369095816281634,direct,log1p_relative_error,continuous
seed,seed=1236,intercept_only,identity,403,0.21033874184941212,0.7575781248216805,0.16333806421728564,0.35518976275937064,direct,log1p_relative_error,continuous
seed,seed=1237,intercept_only,identity,399,0.20758914657153618,0.7476748934135402,0.1540342050804216,0.30505986848428546,direct,log1p_relative_error,continuous
seed,seed=1238,intercept_only,identity,399,0.1935173821007085,0.6969925471799866,0.14499329734730343,0.17222409498994518,direct,log1p_relative_error,continuous
cell,cell_fold=0,intercept_only,identity,405,0.23779866916720638,0.8564806858156402,0.16412508375926446,0.2851871890978177,direct,log1p_relative_error,continuous
cell,cell_fold=1,intercept_only,identity,399,0.22442985825869471,0.8083301710311751,0.15639367941917853,0.3335802707599522,direct,log1p_relative_error,continuous
cell,cell_fold=2,intercept_only,identity,402,0.25225521518013755,0.9085489017019726,0.16245282775449824,0.32951130461579303,direct,log1p_relative_error,continuous
cell,cell_fold=3,intercept_only,identity,404,0.21198738394177294,0.7635160474975087,0.15200039980177532,0.35817505293791874,direct,log1p_relative_error,continuous
cell,cell_fold=4,intercept_only,identity,403,0.20144178449023759,0.7255339078908435,0.14935044840186948,0.3719540098665888,direct,log1p_relative_error,continuous
seed,seed=1234,log_density,identity,405,0.2229445546130669,0.8029805452763005,0.15174611660256257,0.3080142972724127,direct,log1p_relative_error,continuous
seed,seed=1235,log_density,identity,407,0.30593684435720897,1.1018943007081816,0.16750037933817175,0.2997104530473057,direct,log1p_relative_error,continuous
seed,seed=1236,log_density,identity,403,0.20730850091359657,0.7466640905086077,0.15868766915369054,0.37363482646895063,direct,log1p_relative_error,continuous
seed,seed=1237,log_density,identity,399,0.2043332360554459,0.7359480638162957,0.14799192165961036,0.3266883463528113,direct,log1p_relative_error,continuous
seed,seed=1238,log_density,identity,399,0.18687045767025268,0.6730522853833212,0.13730664705762188,0.2281123032274407,direct,log1p_relative_error,continuous
cell,cell_fold=0,log_density,identity,405,0.23394955660131328,0.8426173173545674,0.1573654688503756,0.3081404490559577,direct,log1p_relative_error,continuous
cell,cell_fold=1,log_density,identity,399,0.21954012249099356,0.79071878464939,0.15120255561095935,0.3623029913037522,direct,log1p_relative_error,continuous
cell,cell_fold=2,log_density,identity,402,0.24978500942136833,0.8996519489570909,0.15278890665799913,0.3425785124185753,direct,log1p_relative_error,continuous
cell,cell_fold=3,log_density,identity,404,0.20840284507128137,0.7506055954715021,0.14744027816108699,0.37969704517131975,direct,log1p_relative_error,continuous
cell,cell_fold=4,log_density,identity,403,0.20051028590583905,0.722178924664083,0.14033443183170008,0.3777489479000474,direct,log1p_relative_error,continuous
seed,seed=1234,log_burden,identity,405,0.21125263779730075,0.7608697085422833,0.13766871377511572,0.37869097242244754,direct,log1p_relative_error,continuous
seed,seed=1235,log_burden,identity,407,0.29848192900632775,1.0750438938712503,0.1609454343261474,0.3334232465085648,direct,log1p_relative_error,continuous
seed,seed=1236,log_burden,identity,403,0.20443212405922892,0.7363042292464709,0.1478025014690144,0.3908957045495065,direct,log1p_relative_error,continuous
seed,seed=1237,log_burden,identity,399,0.19101508632883885,0.6879800156704113,0.1340822740106006,0.4115989441591752,direct,log1p_relative_error,continuous
seed,seed=1238,log_burden,identity,399,0.17641379966949688,0.6353904866558875,0.1229517424457627,0.3120800119935121,direct,log1p_relative_error,continuous
cell,cell_fold=0,log_burden,identity,405,0.23643707226271451,0.8515766152644982,0.14958644665507803,0.2933495599968432,direct,log1p_relative_error,continuous
cell,cell_fold=1,log_burden,identity,399,0.20510272923841497,0.7387195513582062,0.1340390067797634,0.44341761902957155,direct,log1p_relative_error,continuous
cell,cell_fold=2,log_burden,identity,402,0.2442814644340027,0.8798298027621441,0.14399042027304607,0.3712294644872213,direct,log1p_relative_error,continuous
cell,cell_fold=3,log_burden,identity,404,0.19812120442357498,0.7135741576417738,0.13246378324890734,0.43939304448348604,direct,log1p_relative_error,continuous
cell,cell_fold=4,log_burden,identity,403,0.19242221686410188,0.6930480849329302,0.13276826210225723,0.42693649113074983,direct,log1p_relative_error,continuous
seed,seed=1234,power_separable,identity,405,0.20946079884273572,0.7544160329937547,0.1374633003004825,0.38918612458585033,direct,log1p_relative_error,continuous
seed,seed=1235,power_separable,identity,407,0.30462986193361463,1.0971869354128696,0.16101627841873276,0.3056810388556813,direct,log1p_relative_error,continuous
seed,seed=1236,power_separable,identity,403,0.19933880807981003,0.7179596069724871,0.14530124949628387,0.4208686242673433,direct,log1p_relative_error,continuous
seed,seed=1237,power_separable,identity,399,0.1877884901642799,0.6763587677233573,0.13216652311502025,0.43130940548826857,direct,log1p_relative_error,continuous
seed,seed=1238,power_separable,identity,399,0.1739246497674996,0.6264253026932239,0.12169074758156846,0.331355779314781,direct,log1p_relative_error,continuous
cell,cell_fold=0,power_separable,identity,405,0.23444784737294377,0.8444120137812392,0.1486604610128243,0.3051901175891021,direct,log1p_relative_error,continuous
