request_id,stimulus_id,model_label,seed,target_passage_tokens,num_needles,query_order,observed_all_pairs_found,predicted_probability,predicted_neff,selected_candidate
Qwen3-8B/enumeration/query_first/T5000_N20_seed1238,T5000_N20_seed1238,Qwen3-8B,1238,5000,20,query_first,1.0,0.9924288601431411,2.1909624119212827,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N2_seed1234,T5000_N2_seed1234,Qwen3-8B,1234,5000,2,query_first,1.0,0.998982286385654,0.338267330286133,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N2_seed1235,T5000_N2_seed1235,Qwen3-8B,1235,5000,2,query_first,1.0,0.998982286385654,0.338267330286133,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N2_seed1236,T5000_N2_seed1236,Qwen3-8B,1236,5000,2,query_first,1.0,0.998982286385654,0.338267330286133,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N2_seed1237,T5000_N2_seed1237,Qwen3-8B,1237,5000,2,query_first,1.0,0.998982286385654,0.338267330286133,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N2_seed1238,T5000_N2_seed1238,Qwen3-8B,1238,5000,2,query_first,1.0,0.998982286385654,0.338267330286133,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N30_seed1234,T5000_N30_seed1234,Qwen3-8B,1234,5000,30,query_first,1.0,0.9891691230704965,3.265505125693876,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N30_seed1235,T5000_N30_seed1235,Qwen3-8B,1235,5000,30,query_first,1.0,0.9891691230704965,3.265505125693876,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N30_seed1236,T5000_N30_seed1236,Qwen3-8B,1236,5000,30,query_first,1.0,0.9891691230704965,3.265505125693876,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N30_seed1237,T5000_N30_seed1237,Qwen3-8B,1237,5000,30,query_first,1.0,0.9891691230704965,3.265505125693876,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N30_seed1238,T5000_N30_seed1238,Qwen3-8B,1238,5000,30,query_first,1.0,0.9891691230704965,3.265505125693876,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N3_seed1234,T5000_N3_seed1234,Qwen3-8B,1234,5000,3,query_first,1.0,0.9972781739971447,0.5238947779618375,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N3_seed1235,T5000_N3_seed1235,Qwen3-8B,1235,5000,3,query_first,1.0,0.9972781739971447,0.5238947779618375,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N3_seed1236,T5000_N3_seed1236,Qwen3-8B,1236,5000,3,query_first,1.0,0.9972781739971447,0.5238947779618375,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N3_seed1237,T5000_N3_seed1237,Qwen3-8B,1237,5000,3,query_first,1.0,0.9972781739971447,0.5238947779618375,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N3_seed1238,T5000_N3_seed1238,Qwen3-8B,1238,5000,3,query_first,1.0,0.9972781739971447,0.5238947779618375,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N4_seed1234,T5000_N4_seed1234,Qwen3-8B,1234,5000,4,query_first,1.0,0.995802629431844,0.7305781114787555,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N4_seed1235,T5000_N4_seed1235,Qwen3-8B,1235,5000,4,query_first,1.0,0.995802629431844,0.7305781114787555,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N4_seed1236,T5000_N4_seed1236,Qwen3-8B,1236,5000,4,query_first,1.0,0.995802629431844,0.7305781114787555,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N4_seed1237,T5000_N4_seed1237,Qwen3-8B,1237,5000,4,query_first,1.0,0.995802629431844,0.7305781114787555,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N4_seed1238,T5000_N4_seed1238,Qwen3-8B,1238,5000,4,query_first,1.0,0.995802629431844,0.7305781114787555,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N5_seed1234,T5000_N5_seed1234,Qwen3-8B,1234,5000,5,query_first,1.0,0.9946422773287253,0.8220170302225782,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N5_seed1235,T5000_N5_seed1235,Qwen3-8B,1235,5000,5,query_first,1.0,0.9946422773287253,0.8220170302225782,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N5_seed1236,T5000_N5_seed1236,Qwen3-8B,1236,5000,5,query_first,1.0,0.9946422773287253,0.8220170302225782,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N5_seed1237,T5000_N5_seed1237,Qwen3-8B,1237,5000,5,query_first,1.0,0.9946422773287253,0.8220170302225782,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N5_seed1238,T5000_N5_seed1238,Qwen3-8B,1238,5000,5,query_first,1.0,0.9946422773287253,0.8220170302225782,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T5000_N6_seed1234,T5000_N6_seed1234,Qwen3-8B,1234,5000,6,query_first,1.0,0.9962195525032387,0.7581776105640001,model_scale_shared_order
