candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,kind
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.9408602366792109,0.07995174254265999,0.10265264663320273,0.94688704673762,0.03962542043293586,0.10340492072050822,0.10134590575976309,0.9348334266208018,0.03852467772398636,0.12608646447241,native_thinking,log1p_relative_error,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.9432334816392799,0.07982503622847104,0.10286237485930896,0.9488216187837246,0.03974721338858745,0.0997375357286322,0.10165074762329818,0.9376453444948352,0.038779281571254216,0.12082120794716189,native_thinking,log1p_relative_error,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.9429230525147594,0.07842397878885739,0.10284822864360248,0.94869113146701,0.040022538287246945,0.09998513707584433,0.1015975861884589,0.9371549735625089,0.03889551217554179,0.12174055552705343,native_thinking,log1p_relative_error,continuous
inverse_separable,identity,2,separate inverse L and N coordinates,0.9635436117577079,0.07399452089947056,0.10477248429514972,0.9664408223987234,0.043839682102587804,0.06599213680127902,0.1041443072783053,0.9606464011166922,0.04277528885772448,0.07715849202154723,native_thinking,log1p_relative_error,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.9401572787026863,0.07931593068296898,0.10258300393915311,0.9462446496143279,0.0401840921841009,0.10462106307625796,0.1012631321819653,0.9340699077910447,0.03898051095467415,0.12751340735922934,native_thinking,log1p_relative_error,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.9503764811118609,0.07705266452694834,0.10354238964964706,0.9550942013003928,0.040775213563153966,0.0877950666423648,0.10251948736136202,0.945658760923329,0.03985729515584623,0.10572950788895397,native_thinking,log1p_relative_error,continuous
intercept_only,identity,0,Model and query-order baselines only,0.9983216015535448,0.1140601885419171,0.18002331860046186,1.0001611790490534,0.050604611534591455,-0.00032238407679230363,0.17936109164644418,0.996482024058036,0.049472785382630564,0.007023575729199649,native_thinking,signed_relative_error,continuous
log_density,identity,1,log(N/L) density coordinate,0.9724926783499952,0.1176868897754827,0.17604379933723843,0.9780520394703779,0.05418430715639985,0.04341420808783447,0.1740424926295711,0.9669333172296126,0.052517378199000236,0.06503996003133738,native_thinking,signed_relative_error,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.984285411452547,0.11822773945632016,0.17748903153583384,0.9860813611770556,0.05034507749562387,0.027643549139205192,0.17684251008265559,0.9824894617280383,0.04942996322642885,0.03471445759334957,native_thinking,signed_relative_error,continuous
power_separable,identity,2,separate log L and log N orders,0.9702947183681782,0.11873098245454755,0.17580267252367845,0.9767124036941609,0.0541788468802881,0.046032880469974446,0.17349237887437807,0.9638770330421954,0.05234527318281081,0.07094106517377452,native_thinking,signed_relative_error,continuous
power_interaction,identity,3,power surface plus log L × log N,0.9740097447467413,0.11634958552228537,0.1763887866447682,0.9799686962398363,0.05468574894448936,0.03966135438999552,0.17424363195242928,0.9680507932536462,0.052939004230361075,0.06287766168098641,native_thinking,signed_relative_error,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.9792192474692873,0.11222532217640112,0.17707543026824918,0.9837835036847062,0.05729577955569908,0.03217001787784368,0.17543234999667986,0.9746549912538685,0.05718041288809173,0.0500476480239217,native_thinking,signed_relative_error,continuous
