request_id,model_label,seed,target_passage_tokens,num_needles,query_order,exact_correct,mode,p_parse_oof,p_exact_given_parse_oof,p_exact_product_oof
Qwen3-8B/direct/query_first/T5000_N30_seed1236,Qwen3-8B,1236,5000,30,query_first,0,direct,0.9993066222203709,0.002250308527393474,0.0022487482134632693
Qwen3-8B/direct/query_first/T5000_N30_seed1237,Qwen3-8B,1237,5000,30,query_first,0,direct,0.9993066222203709,0.002250308527393474,0.0022487482134632693
Qwen3-8B/direct/query_first/T5000_N30_seed1238,Qwen3-8B,1238,5000,30,query_first,0,direct,0.9993066222203709,0.002250308527393474,0.0022487482134632693
Qwen3-8B/direct/query_first/T5000_N3_seed1234,Qwen3-8B,1234,5000,3,query_first,1,direct,0.999999999,0.7660993147496036,0.7660993139835043
Qwen3-8B/direct/query_first/T5000_N3_seed1235,Qwen3-8B,1235,5000,3,query_first,1,direct,0.999999999,0.7660993147496036,0.7660993139835043
Qwen3-8B/direct/query_first/T5000_N3_seed1236,Qwen3-8B,1236,5000,3,query_first,1,direct,0.999999999,0.7660993147496036,0.7660993139835043
Qwen3-8B/direct/query_first/T5000_N3_seed1237,Qwen3-8B,1237,5000,3,query_first,1,direct,0.999999999,0.7660993147496036,0.7660993139835043
Qwen3-8B/direct/query_first/T5000_N3_seed1238,Qwen3-8B,1238,5000,3,query_first,1,direct,0.999999999,0.7660993147496036,0.7660993139835043
Qwen3-8B/direct/query_first/T5000_N4_seed1234,Qwen3-8B,1234,5000,4,query_first,1,direct,0.999999999,0.5895141213022197,0.5895141207127056
Qwen3-8B/direct/query_first/T5000_N4_seed1235,Qwen3-8B,1235,5000,4,query_first,0,direct,0.999999999,0.5895141213022197,0.5895141207127056
Qwen3-8B/direct/query_first/T5000_N4_seed1236,Qwen3-8B,1236,5000,4,query_first,1,direct,0.999999999,0.5895141213022197,0.5895141207127056
Qwen3-8B/direct/query_first/T5000_N4_seed1237,Qwen3-8B,1237,5000,4,query_first,1,direct,0.999999999,0.5895141213022197,0.5895141207127056
Qwen3-8B/direct/query_first/T5000_N4_seed1238,Qwen3-8B,1238,5000,4,query_first,1,direct,0.999999999,0.5895141213022197,0.5895141207127056
