"pca_dim","model_label","endpoint","mode","selector","discovery_metric","confirmation_metric","selected_layer","discovery_value","confirmation_value","pca_components","discovery_rows","confirmation_rows"
"2","Gemma4-E4B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","22","0.022429086761063574","0.015542389369675119","2","1100","550"
"4","Gemma4-E4B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","22","0.13782687737491384","0.08993530815917752","4","1100","550"
"8","Gemma4-E4B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","22","0.13785389631495198","0.09062387562246826","8","1100","550"
"16","Gemma4-E4B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","22","0.11803259470630387","0.10851129292258066","16","1100","550"
"32","Gemma4-E4B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","22","0.12522558062510564","0.1243963558499176","32","1100","550"
"2","Gemma4-E4B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","30","0.7752982285370019","0.7816655793710057","2","1045","519"
"4","Gemma4-E4B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","31","0.8180846948106841","0.8789741522630506","4","1045","519"
"8","Gemma4-E4B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","23","0.7286087626935225","0.7374404647917326","8","1045","519"
"16","Gemma4-E4B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","1","0.7324717998103866","0.8099057127770475","16","1045","519"
"32","Gemma4-E4B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","1","0.7415033141732623","0.7688775944324208","32","1045","519"
"2","Gemma4-E4B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","18","0.6041923258952062","0.6072294723181202","2","1100","550"
"4","Gemma4-E4B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","11","0.6561301938905633","0.710798829503014","4","1100","550"
"8","Gemma4-E4B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","6","0.6656812201415689","0.6925493093302417","8","1100","550"
"16","Gemma4-E4B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","11","0.6858089756021959","0.7383729220268378","16","1100","550"
"32","Gemma4-E4B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","11","0.6811600102443144","0.727782871999572","32","1100","550"
"2","Qwen3-8B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","29","217.18560696442728","209.43820925806315","2","200","100"
"4","Qwen3-8B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","29","362.2022496766092","348.56297378420027","4","200","100"
"8","Qwen3-8B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","35","711.5929800431084","678.8223389221819","8","200","100"
"16","Qwen3-8B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","35","1251.4404229237898","1150.0889678135945","16","200","100"
"32","Qwen3-8B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","35","2012.6438236318747","1757.1397452223262","32","200","100"
"2","Qwen3-8B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","26","58.7563903122949","54.80659257675812","2","200","100"
"4","Qwen3-8B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","35","65.53606788126262","60.627163085635544","4","200","100"
"8","Qwen3-8B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","26","96.18806245651085","85.18069527196901","8","200","100"
"16","Qwen3-8B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","23","167.40439202883303","141.28358558641617","16","200","100"
"32","Qwen3-8B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","33","491.9062349713383","411.268196277179","32","200","100"
"2","Qwen3-8B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","29","21.34841383987257","21.552912690007638","2","200","100"
"4","Qwen3-8B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","29","17.909555243287492","17.779379570877296","4","200","100"
"8","Qwen3-8B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","34","12.791779132072632","15.6018313840449","8","200","100"
"16","Qwen3-8B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","34","2.120588052038723","3.1475894448247748","16","200","100"
"32","Qwen3-8B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","34","-1.880259491412314","-0.403940890849932","32","200","100"
"2","Qwen3-8B","final_count","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","26","12.135953958601407","12.042469468921217","2","200","100"
"4","Qwen3-8B","final_count","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","35","7.486578075342877","8.30680988787016","4","200","100"
"8","Qwen3-8B","final_count","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","35","0.9022026816844331","0.5660505795528677","8","200","100"
"16","Qwen3-8B","final_count","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","35","-3.350884857476605","-1.7791534039588044","16","200","100"
"32","Qwen3-8B","final_count","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","32","-5.649807168594509","-4.275264316417954","32","200","100"
"2","Qwen3-8B","final_count","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.6821643178196246","0.7908506172515184","2","200","100"
"4","Qwen3-8B","final_count","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.7243594892274903","0.8247232497675189","4","200","100"
"8","Qwen3-8B","final_count","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.7214808131702471","0.826339898256818","8","200","100"
"16","Qwen3-8B","final_count","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.6672339636541217","0.7726862834793639","16","200","100"
"32","Qwen3-8B","final_count","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","34","0.5692098834523387","0.7205112434931709","32","200","100"
"2","Qwen3-8B","final_count","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","33","0.07611588398536942","0.11972699004225991","2","200","100"
"4","Qwen3-8B","final_count","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.07455022513304402","0.16730533142541454","4","200","100"
"8","Qwen3-8B","final_count","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.06419655755779481","0.16514224962462104","8","200","100"
"16","Qwen3-8B","final_count","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","35","0.004677097377494754","0.16438346693467581","16","200","100"
"32","Qwen3-8B","final_count","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","33","-0.09384183941641129","0.1494913311254986","32","200","100"
"2","Qwen3-8B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","35","0.9246112735126257","0.9317245901347135","2","200","100"
"4","Qwen3-8B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","35","0.8716210609233641","0.8850351242912341","4","200","100"
"8","Qwen3-8B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","14","0.8702356958883508","0.894226488465842","8","200","100"
"16","Qwen3-8B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","12","0.9046433678637309","0.9317245901347135","16","200","100"
"32","Qwen3-8B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","12","0.8980096006768401","0.929926279752725","32","200","100"
"2","Qwen3-8B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","19","0.9523318950305374","0.9739515820673327","2","200","100"
"4","Qwen3-8B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","11","0.9623091874461626","0.9775482028313096","4","200","100"
"8","Qwen3-8B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","17","0.9708211899209083","0.967624193686262","8","200","100"
"16","Qwen3-8B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","17","0.9669581528040438","0.9771485783019789","16","200","100"
"32","Qwen3-8B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","7","0.9717802887913021","0.9890707100936803","32","200","100"
"2","Qwen3-8B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","22","1.222600664229701","1.219869198332506","2","1107","544"
"4","Qwen3-8B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","23","4.326462747233039","4.2699582252357855","4","1107","544"
"8","Qwen3-8B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","19","10.93590447228952","11.093977189067147","8","1107","544"
"16","Qwen3-8B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","18","23.999781357643833","24.514575717179298","16","1107","544"
"32","Qwen3-8B","running_index","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","19","50.39798293266408","47.82917468544858","32","1107","544"
"2","Qwen3-8B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","15","82.96315853042151","74.34729351677487","2","1100","550"
"4","Qwen3-8B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","19","91.51965434698056","83.73644626466331","4","1100","550"
"8","Qwen3-8B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","13","155.61522359679648","144.50036291041775","8","1100","550"
"16","Qwen3-8B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","13","242.61130235456912","217.44515135775103","16","1100","550"
"32","Qwen3-8B","running_index","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","15","432.9070587122043","363.0686521736389","32","1100","550"
"2","Qwen3-8B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","23","-3.6416301058797105","-3.615271799042166","2","1107","544"
"4","Qwen3-8B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","23","-3.0202797759096516","-3.0211582470021954","4","1107","544"
"8","Qwen3-8B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","18","-4.187947503080289","-4.110241011544744","8","1107","544"
"16","Qwen3-8B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","18","-5.269802072536175","-5.246451219199489","16","1107","544"
"32","Qwen3-8B","running_index","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","19","-6.204824203670637","-7.219602925807491","32","1107","544"
"2","Qwen3-8B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","15","9.0863710982735","6.496324302477432","2","1100","550"
"4","Qwen3-8B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","19","1.333572343035091","-0.3451818809345189","4","1100","550"
"8","Qwen3-8B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","19","-1.5787828636216916","-2.2817012170700464","8","1100","550"
"16","Qwen3-8B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","19","-3.530012027794105","-4.0400678063342585","16","1100","550"
"32","Qwen3-8B","running_index","non_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","28","-4.777257221787245","-6.801505240447922","32","1100","550"
"2","Qwen3-8B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","27","-0.1135605777048305","-0.09061488116136177","2","1107","544"
"4","Qwen3-8B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","24","-0.03511401427377354","-0.013709497875383687","4","1107","544"
"8","Qwen3-8B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","18","0.008983745581906963","0.03585298356993419","8","1107","544"
"16","Qwen3-8B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","18","0.06284661002474005","0.1002536166613078","16","1107","544"
"32","Qwen3-8B","running_index","native_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","18","0.09783761932524496","0.11565659308721274","32","1107","544"
"2","Qwen3-8B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","12","0.10040845794786732","0.06961973092685572","2","1100","550"
"4","Qwen3-8B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","20","0.1691511031278306","0.13200766191873473","4","1100","550"
