model_label,site,running_index,marker_kind,trace_order_class,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Gemma4-E4B,city_middle,6,bullet,other_permutation,7,0.8069651254097029,0.15797970858348512,0.8767852554564265,7,0.7610130040620547,0.18226640396267035,0.8503190347579074,7,4.226664870977402,3.522201562080271,3.5058043003082275
Gemma4-E4B,city_middle,6,indexed,forward,11,0.7283610248860161,0.15290425532240287,0.7901651967835636,11,0.7041892682902758,0.1633191422055306,0.772307626916132,11,2.3968818458643826,2.18592534671434,1.3966944217681885
Gemma4-E4B,city_middle,6,indexed,other_permutation,1,0.5455694254639814,,0.5455694254639814,1,0.5042048179051959,,0.5042048179051959,1,1.753032684326172,,1.753032684326172
Gemma4-E4B,city_middle,7,audit_sentence,forward,5,0.6142610947167817,0.11458168419878217,0.5646747088184265,5,0.5798547474446707,0.1322160753553074,0.5412446207432695,5,3.709768509864807,3.033442815268492,3.430381774902344
Gemma4-E4B,city_middle,7,audit_sentence,other_permutation,1,0.524222192880891,,0.524222192880891,1,0.4714523591190367,,0.4714523591190367,1,2.781806707382202,,2.781806707382202
Gemma4-E4B,city_middle,7,bullet,forward,33,0.8047091540930889,0.14852206273976418,0.8517869006226062,33,0.7752076548255372,0.15467253090456803,0.8311255987955416,33,3.851665765950174,2.9792904000459437,3.113302707672119
Gemma4-E4B,city_middle,7,bullet,other_permutation,5,0.7584360513370582,0.11903536580629177,0.799694175677444,5,0.7243831236726648,0.12124539028184174,0.7931126031238315,5,3.17533917427063,2.506765732110167,2.903875827789306
Gemma4-E4B,city_middle,7,indexed,forward,8,0.7474245151830928,0.1767236280223519,0.7342450772057605,8,0.7080444268359614,0.18239545194267134,0.7096697848708338,8,2.7708762139081955,1.4311922315146297,2.413596987724304
Gemma4-E4B,city_middle,7,indexed,other_permutation,1,0.5577268048451441,,0.5577268048451441,1,0.4758293184783708,,0.4758293184783708,1,3.169556140899658,,3.169556140899658
Gemma4-E4B,city_middle,8,audit_sentence,forward,3,0.6583822983793324,0.21101200852285207,0.5568993111215538,3,0.6257742627817466,0.23014931504035968,0.5119431923429674,3,2.375007410844167,1.6979994691523324,2.6269407272338867
Gemma4-E4B,city_middle,8,bullet,forward,27,0.7582951657126092,0.1632710032491967,0.8343161001382816,27,0.7216600874828261,0.1761082136482346,0.8012083785711489,27,3.0377958196180836,1.8118234876726045,2.659398078918457
Gemma4-E4B,city_middle,8,bullet,other_permutation,2,0.7526267834583145,0.2869781956690743,0.7526267834583145,2,0.7044817498220602,0.25534131652713815,0.7044817498220602,2,6.0737550258636475,0.6332098687554268,6.0737550258636475
Gemma4-E4B,city_middle,8,indexed,forward,11,0.7029914902203976,0.18024745287233734,0.630703555489361,11,0.6523877150506888,0.1913969399780934,0.6121410670749332,11,3.1326252194968136,2.3177108631167425,2.9722962379455566
Gemma4-E4B,city_middle,8,indexed,other_permutation,2,0.6648565394068991,0.19580310859500388,0.6648565394068991,2,0.6388255725560954,0.20839321500478514,0.6388255725560954,2,2.415323495864868,2.3535498160294566,2.415323495864868
Gemma4-E4B,city_middle,9,audit_sentence,other_permutation,1,0.5849749580957472,,0.5849749580957472,1,0.5425151422766632,,0.5425151422766632,1,4.512472629547119,,4.512472629547119
Gemma4-E4B,city_middle,9,bullet,forward,17,0.6383102805340846,0.18423393781610384,0.5451760851027908,17,0.5912050384973959,0.17978774243171702,0.5054982782501013,17,3.3592696978765377,2.1272284933753,3.3032054901123047
Gemma4-E4B,city_middle,9,bullet,other_permutation,1,0.5493233506505493,,0.5493233506505493,1,0.5073538246544911,,0.5073538246544911,1,3.700175523757935,,3.700175523757935
Gemma4-E4B,city_middle,9,indexed,forward,4,0.8085109498065554,0.1958777651623629,0.8666966925054627,4,0.7604561199534164,0.20932069782902535,0.8269825454168316,4,4.136805921792984,2.6168686222767987,4.315724730491638
Gemma4-E4B,city_middle,10,audit_sentence,other_permutation,1,0.470981373201954,,0.470981373201954,1,0.450704035067789,,0.450704035067789,1,1.0084426403045654,,1.0084426403045654
Gemma4-E4B,city_middle,10,bullet,forward,6,0.8306842088951137,0.21334516584795282,0.8805543094954745,6,0.7901998827202451,0.19870682596210174,0.8339168989694266,6,3.9441877802213035,4.128846757424715,2.4500575065612793
Gemma4-E4B,city_middle,10,bullet,other_permutation,2,0.8914119602572914,0.05562910306736192,0.8914119602572914,2,0.8384702670083435,0.01524540231472244,0.8384702670083435,2,6.364741325378417,5.654554717437625,6.364741325378417
