registered_bank_size,evaluation_scope,analysis_population,gold_count,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
8,full_panel,all_examples,9,selected_failure_minus_mean_random_failure,0.8444444444444444,0.7222222222222221,0.9444444444444444,30,30,0.8444444444444444,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
8,full_panel,all_examples,10,selected_failure_minus_mean_random_failure,0.888888888888889,0.7777777777777778,0.9669444444444404,30,30,0.888888888888889,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:all_examples,4.4999775001124996e-05
8,full_panel,clean_correct_only,2,selected_failure_minus_mean_random_failure,0.26666666666666666,0.1111111111111111,0.4333333333333333,30,30,0.26666666666666666,1.0,0.0038349808250958744,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,0.0038349808250958744
8,full_panel,clean_correct_only,3,selected_failure_minus_mean_random_failure,0.47777777777777775,0.3,0.6555555555555554,30,30,0.47777777777777775,1.0,9.499952500237499e-05,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,0.00018999905000474998
8,full_panel,clean_correct_only,4,selected_failure_minus_mean_random_failure,0.7701149425287356,0.632183908045977,0.896551724137931,29,29,0.7701149425287356,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,4.4999775001124996e-05
8,full_panel,clean_correct_only,5,selected_failure_minus_mean_random_failure,0.8160919540229885,0.6896551724137931,0.9195402298850575,29,29,0.8160919540229885,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,4.4999775001124996e-05
8,full_panel,clean_correct_only,6,selected_failure_minus_mean_random_failure,0.8777777777777778,0.7777777777777776,0.9666666666666667,30,30,0.8777777777777778,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,4.4999775001124996e-05
8,full_panel,clean_correct_only,7,selected_failure_minus_mean_random_failure,0.9195402298850573,0.8505747126436781,0.9770114942528735,29,29,0.9195402298850573,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,4.4999775001124996e-05
8,full_panel,clean_correct_only,8,selected_failure_minus_mean_random_failure,0.8275862068965517,0.7241379310344828,0.9080459770114944,29,29,0.8275862068965517,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,4.4999775001124996e-05
8,full_panel,clean_correct_only,9,selected_failure_minus_mean_random_failure,0.8444444444444444,0.7222222222222222,0.9444444444444444,30,30,0.8444444444444444,1.0,4.9999750001249995e-06,deterministic_monte_carlo_200000,descriptive_count_stratum,count_strata:K8:full_panel:clean_correct_only,4.4999775001124996e-05
