model_label,role,layer,rows,seeds,fold,algorithm,rows_train,rows_test,r2,mae,pearson_r
Qwen3-8B,answer_query,11,200,20,group_fold_2,knn5_distance,160,40,0.09690357821809881,2.247162281769537,0.4634809711929366
Qwen3-8B,answer_query,11,200,20,group_fold_3,ridge,160,40,0.6676976680755615,1.4023714065551758,0.8530472110064227
Qwen3-8B,answer_query,11,200,20,group_fold_3,knn5_distance,160,40,0.33244936091595556,2.0062842931310185,0.5916848078604731
Qwen3-8B,answer_query,11,200,20,group_fold_4,ridge,160,40,-0.34254932403564453,2.925673246383667,0.6580301366046287
Qwen3-8B,answer_query,11,200,20,group_fold_4,knn5_distance,160,40,0.2895508078728094,2.0769475598603253,0.5505727776249425
Qwen3-8B,answer_query,12,200,20,group_fold_0,ridge,160,40,0.8052442073822021,1.0597676038742065,0.9025074015748071
Qwen3-8B,answer_query,12,200,20,group_fold_0,knn5_distance,160,40,0.3124827805643501,1.98329931648365,0.5600873654899412
Qwen3-8B,answer_query,12,200,20,group_fold_1,ridge,160,40,0.4987756013870239,1.8137603998184204,0.8457839755257024
Qwen3-8B,answer_query,12,200,20,group_fold_1,knn5_distance,160,40,0.32963037478227464,1.8455364502123994,0.5746282882720856
Qwen3-8B,answer_query,12,200,20,group_fold_2,ridge,160,40,0.8796238303184509,0.798725426197052,0.949663543657697
Qwen3-8B,answer_query,12,200,20,group_fold_2,knn5_distance,160,40,0.2513221597610025,2.0754400556947523,0.5979437095229609
Qwen3-8B,answer_query,12,200,20,group_fold_3,ridge,160,40,0.7001950740814209,1.4689178466796875,0.8738267414398659
Qwen3-8B,answer_query,12,200,20,group_fold_3,knn5_distance,160,40,0.30473568108616245,2.0836721804779272,0.6716900475491918
Qwen3-8B,answer_query,12,200,20,group_fold_4,ridge,160,40,0.03170645236968994,2.4708824157714844,0.7406255654497351
Qwen3-8B,answer_query,12,200,20,group_fold_4,knn5_distance,160,40,0.07234286816334046,2.199638198064503,0.33732016624845207
Qwen3-8B,answer_query,13,200,20,group_fold_0,ridge,160,40,0.8413417339324951,0.9682794809341431,0.9215461467665766
Qwen3-8B,answer_query,13,200,20,group_fold_0,knn5_distance,160,40,0.2494603676197139,2.131481357464971,0.5108364058048417
Qwen3-8B,answer_query,13,200,20,group_fold_1,ridge,160,40,0.6964685916900635,1.394432544708252,0.8987232298451096
Qwen3-8B,answer_query,13,200,20,group_fold_1,knn5_distance,160,40,0.3092188224239122,1.9663618780630394,0.5659125781905767
Qwen3-8B,answer_query,13,200,20,group_fold_2,ridge,160,40,0.8558409214019775,0.9178450703620911,0.9532955015367326
Qwen3-8B,answer_query,13,200,20,group_fold_2,knn5_distance,160,40,0.3345131791546544,1.7775996471295208,0.6529712951291231
Qwen3-8B,answer_query,13,200,20,group_fold_3,ridge,160,40,0.8431553244590759,1.0062698125839233,0.939193044441813
Qwen3-8B,answer_query,13,200,20,group_fold_3,knn5_distance,160,40,0.32692941055176294,1.8612145275739291,0.6599895216181375
Qwen3-8B,answer_query,13,200,20,group_fold_4,ridge,160,40,0.3864367604255676,1.8724822998046875,0.8122918317621903
Qwen3-8B,answer_query,13,200,20,group_fold_4,knn5_distance,160,40,0.2569447711949858,2.0945178240903126,0.5319965388174225
