model_label,role,layer,folds,silhouette_cosine_mean,silhouette_cosine_min,silhouette_cosine_max,calinski_harabasz_mean,calinski_harabasz_min,calinski_harabasz_max,davies_bouldin_mean,davies_bouldin_min,davies_bouldin_max
Gemma4-E4B,answer_query,10,5,-0.2676050543785095,-0.2783166766166687,-0.25688451528549194,0.07224924998486615,0.04548529174201851,0.09749213152386989,21.746009180750843,18.449381899281498,26.73842416457736
Gemma4-E4B,answer_query,11,5,-0.26306267380714415,-0.2709878087043762,-0.2539398968219757,0.11280972881020726,0.06445210208702473,0.17912009836383466,19.300149499722373,14.820241677010324,24.585913951734394
Gemma4-E4B,answer_query,12,5,-0.2622988224029541,-0.27282458543777466,-0.2561991810798645,0.14310495955954222,0.06919840781817796,0.24612279865148695,19.633608365436707,15.014333514211657,25.785132253623363
Gemma4-E4B,answer_query,13,5,-0.26174949407577514,-0.2733837962150574,-0.2572428286075592,0.15473759096060538,0.10112254277887148,0.21013906601652893,18.240171349779587,15.291075349963155,22.07379601314222
Gemma4-E4B,answer_query,14,5,-0.2586358040571213,-0.2669379711151123,-0.24639709293842316,0.23648339183659153,0.1674752969323221,0.32357127959682414,14.756745652925076,12.001352385200075,17.728242798400817
Gemma4-E4B,answer_query,15,5,-0.26849319934844973,-0.276974618434906,-0.25958192348480225,0.25763803835478116,0.2182849004623682,0.3032221718990287,12.219718323534048,9.864113351317265,14.087324397742318
Gemma4-E4B,answer_query,16,5,-0.26482767462730405,-0.2745512127876282,-0.25497496128082275,0.40387817595659053,0.26124404876874513,0.4817902315209885,11.684428632296324,10.213099624696135,13.854622016008255
Gemma4-E4B,answer_query,17,5,-0.26992828845977784,-0.28996893763542175,-0.2503654956817627,0.765650935330274,0.36214663434023914,0.9169472222695587,13.512643355668837,11.667563011147566,15.74995542988648
Gemma4-E4B,answer_query,18,5,-0.24746147394180298,-0.25523456931114197,-0.24154634773731232,0.9438687595935565,0.5194570964342247,1.1823189678908266,12.349208813135888,10.637325366129454,13.680146141452166
Gemma4-E4B,answer_query,19,5,-0.20591980516910552,-0.22929999232292175,-0.1894259750843048,3.0563325457860464,2.0882939452904936,3.454162542380694,8.901665890165143,7.825451875371509,9.5970152509468
Gemma4-E4B,answer_query,20,5,-0.19690786004066468,-0.2576305866241455,-0.1689525544643402,7.571861919489473,4.181854479426928,9.810213622379996,6.703940991026478,5.419964794535109,7.660796419837622
Gemma4-E4B,answer_query,21,5,-0.21130759716033937,-0.28612250089645386,-0.16239997744560242,8.70754398364549,4.062205724599774,12.345454714197547,6.7415361916518535,5.0760841724244,7.88037474143611
Gemma4-E4B,answer_query,22,5,-0.20919559597969056,-0.26666778326034546,-0.17146718502044678,7.343349144449354,3.5873543423990766,9.992989070834026,7.214687854785052,5.747834991310018,8.324681903310383
Gemma4-E4B,answer_query,23,5,-0.18962824046611787,-0.23067352175712585,-0.15081563591957092,6.808736782911682,5.365267118676798,9.002932165741807,6.45992072897198,5.673259021849797,7.271896506544527
Gemma4-E4B,answer_query,24,5,-0.16656043231487275,-0.21136422455310822,-0.13089153170585632,10.117328371209961,8.49767014623079,11.251915641249186,5.883289734875447,5.002394351094642,6.922355312859715
Gemma4-E4B,answer_query,25,5,-0.14261483550071716,-0.1715608388185501,-0.1228741854429245,14.130242609095589,12.019669928934396,17.875060937874693,5.01952928618095,4.318129810977838,5.92368942935478
Gemma4-E4B,answer_query,26,5,-0.1380593165755272,-0.15998069941997528,-0.11887063831090927,18.930990500807248,16.114248958325458,23.36238941590052,4.676935892947268,3.9311307877187085,5.390750414760707
Gemma4-E4B,answer_query,27,5,-0.10915450006723404,-0.1407913714647293,-0.08033798635005951,18.608674748496323,14.495359767103306,24.892010380949827,4.7220103234543895,3.793072693755115,5.325001765226043
Gemma4-E4B,answer_query,28,5,-0.11613020300865173,-0.14889095723628998,-0.08702045679092407,19.45847620208886,15.375519221852205,27.231950380628447,4.659485976561288,3.6356662588478046,5.188831009869726
Gemma4-E4B,answer_query,29,5,-0.08806413263082505,-0.1218501552939415,-0.06477203220129013,6.8960950707399125,5.812083879599264,8.465693679270798,5.5358754859435,4.795086496741427,6.440450145833296
Gemma4-E4B,answer_query,30,5,-0.05640593729913235,-0.08747229725122452,-0.013325119391083717,9.822186524668957,8.398785056584526,10.983253580438715,4.742530651305252,4.068015813430738,5.220304860536432
Gemma4-E4B,answer_query,31,5,-0.07100889123976231,-0.12059207260608673,-0.02766590751707554,14.202691912871881,11.328494694945324,16.18836729201602,4.077330904470967,3.4185113930887256,4.675619424075061
Gemma4-E4B,answer_query,32,5,-0.06809848211705685,-0.10588906705379486,-0.026108747348189354,16.82656949297813,14.234053115765422,19.499274979977237,3.347352145154906,2.8235445194233315,4.142996280133903
Gemma4-E4B,answer_query,33,5,-0.05882722549140453,-0.10675126314163208,-0.011310150846838951,19.461147024091723,16.277965252907787,23.058954979738303,3.1521111478265094,2.686131447263989,3.9442646142226705
Gemma4-E4B,answer_query,34,5,-0.05844701305031776,-0.11110526323318481,-0.0035199150443077087,21.016108858990897,17.41999535862339,25.7436568951854,3.067083389017342,2.562845654671772,4.01139005383976
Gemma4-E4B,answer_query,35,5,-0.051909003779292105,-0.10271549224853516,0.012943631038069725,22.322451963502957,18.687693315070597,29.634055916714235,2.918808653765575,2.3870963069578144,4.020807342763431
Gemma4-E4B,answer_query,36,5,-0.04175080582499504,-0.08218725770711899,0.021602068096399307,22.516272712437214,18.80073440458588,30.612325440479257,2.718801191980332,2.2110325273559925,3.9165598887291457
Gemma4-E4B,answer_query,37,5,-0.03764084577560425,-0.08287110179662704,0.036923520267009735,23.7661315174472,19.252537092184216,32.82778206318555,2.726321714345871,2.2139289453116313,4.075404404360088
Gemma4-E4B,answer_query,38,5,-0.02597796618938446,-0.06922592967748642,0.04695528373122215,21.531000979729573,15.451585198267388,29.51921272955575,2.591167264592465,2.056588203826471,4.098046562748635
Gemma4-E4B,answer_query,39,5,-0.018230178207159043,-0.06089555472135544,0.050169505178928375,18.155502669388245,12.180657458182855,24.125465205034683,2.5566180729613115,1.9885633197088883,4.2040249868174735
