model_label,role,layer,rows,seeds,fold,rows_test,silhouette_cosine,calinski_harabasz,davies_bouldin
Gemma4-E4B,answer_query,10,200,20,group_fold_3,40,-0.2579170763492584,0.0566055217230002,23.105006849173314
Gemma4-E4B,answer_query,10,200,20,group_fold_4,40,-0.26840534806251526,0.04548529174201851,26.73842416457736
Gemma4-E4B,answer_query,11,200,20,group_fold_0,40,-0.2602464258670807,0.10810953331266314,20.58750603631259
Gemma4-E4B,answer_query,11,200,20,group_fold_1,40,-0.2539398968219757,0.12930245395123388,16.405370153017138
Gemma4-E4B,answer_query,11,200,20,group_fold_2,40,-0.2709878087043762,0.17912009836383466,14.820241677010324
Gemma4-E4B,answer_query,11,200,20,group_fold_3,40,-0.2599967420101166,0.06445210208702473,24.585913951734394
Gemma4-E4B,answer_query,11,200,20,group_fold_4,40,-0.27014249563217163,0.0830644563362798,20.101715680537406
Gemma4-E4B,answer_query,12,200,20,group_fold_0,40,-0.26432567834854126,0.138381205751482,18.783348606577743
Gemma4-E4B,answer_query,12,200,20,group_fold_1,40,-0.2561991810798645,0.16950835354172827,16.786988334053472
Gemma4-E4B,answer_query,12,200,20,group_fold_2,40,-0.27282458543777466,0.24612279865148695,15.014333514211657
Gemma4-E4B,answer_query,12,200,20,group_fold_3,40,-0.2592478394508362,0.06919840781817796,25.785132253623363
Gemma4-E4B,answer_query,12,200,20,group_fold_4,40,-0.2588968276977539,0.09231403203483603,21.798239118717305
Gemma4-E4B,answer_query,13,200,20,group_fold_0,40,-0.2733837962150574,0.1503893076999594,18.008690581736424
Gemma4-E4B,answer_query,13,200,20,group_fold_1,40,-0.25789713859558105,0.19875224995498686,15.291075349963155
Gemma4-E4B,answer_query,13,200,20,group_fold_2,40,-0.26105260848999023,0.21013906601652893,15.55793620971041
Gemma4-E4B,answer_query,13,200,20,group_fold_3,40,-0.25917109847068787,0.10112254277887148,22.07379601314222
Gemma4-E4B,answer_query,13,200,20,group_fold_4,40,-0.2572428286075592,0.11328478835268024,20.269358594345725
Gemma4-E4B,answer_query,14,200,20,group_fold_0,40,-0.2669379711151123,0.20650133322345032,13.974161246662987
Gemma4-E4B,answer_query,14,200,20,group_fold_1,40,-0.2536666989326477,0.32357127959682414,12.001352385200075
Gemma4-E4B,answer_query,14,200,20,group_fold_2,40,-0.24639709293842316,0.3135217855311396,13.44124133258984
Gemma4-E4B,answer_query,14,200,20,group_fold_3,40,-0.25945207476615906,0.17134726389922147,17.728242798400817
Gemma4-E4B,answer_query,14,200,20,group_fold_4,40,-0.26672518253326416,0.1674752969323221,16.638730501771658
Gemma4-E4B,answer_query,15,200,20,group_fold_0,40,-0.25958192348480225,0.24817105057432146,13.594909177348901
Gemma4-E4B,answer_query,15,200,20,group_fold_1,40,-0.26862579584121704,0.3032221718990287,9.864113351317265
Gemma4-E4B,answer_query,15,200,20,group_fold_2,40,-0.26804953813552856,0.27366640666143593,12.825521338145611
Gemma4-E4B,answer_query,15,200,20,group_fold_3,40,-0.2692341208457947,0.2448456621767515,14.087324397742318
