model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2
Gemma4-E4B,direct,signed_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,330,4.443110791100807,0.5512052879569035,0.7246544581370886,0.747364522541358,0.7498479251665118,0.6941088970287422,0.5105491645723104
Gemma4-E4B,direct,signed_error,N_logL,N + log₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k,3,330,4.270905068448915,0.5162055309454985,0.735472021252497,0.7512552683190795,0.7558888301817431,0.6840741363610064,0.6321192995776959
Gemma4-E4B,direct,signed_error,logN_L,log₂N + L,b=\alpha+\beta_N\log_2N+\beta_LL_k,3,330,7.3073256472956585,0.6258311980942541,0.5586781530326999,0.5779888715225006,0.5815463840853374,0.2457470570823368,0.402901034055264
Gemma4-E4B,direct,signed_error,logN_logL,log₂N + log₂L,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k,3,330,7.191854716130919,0.6031388023644263,0.5652593577632992,0.5909968903837083,0.5948582784118609,0.23316843264685616,0.5006341801468784
Gemma4-E4B,direct,signed_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,330,2.060562108981255,0.3395489173055738,0.8716023505955874,0.9374327678206686,0.9403592926172166,0.930948579635343,0.8690459980670264
Gemma4-E4B,direct,signed_error,L_density,L + N/L,b=\alpha+\beta_LL_k+\beta_DN/L_k,3,330,14.108070460504198,1.3556960749198947,0.16853746617370224,0.1832236984982637,0.18953631150936956,0.021746993278776272,-0.6490526675144106
Gemma4-E4B,direct,signed_error,N_L_density,N + L + N/L,b=\alpha+\beta_NN+\beta_LL_k+\beta_DN/L_k,4,330,2.0456917820661134,0.34734533571332843,0.8729827398091669,0.9425322206099769,0.9456059689675831,0.9382409314403456,0.8487665943658864
Gemma4-E4B,direct,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,330,2.146334878463349,0.32201027571197854,0.8631506346661288,0.942828996497413,0.9427517157699945,0.937788437243646,0.6604019498360467
Gemma4-E4B,direct,signed_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,330,1.625035187844789,0.30109298378533406,0.8938167091216607,0.9818923289465328,0.982228475888862,0.9780893752954057,0.9693983668976582
Gemma4-E4B,direct,signed_error,logN_logL_interaction,log₂N + log₂L + interaction,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k+\beta_{NL}\log_2N\log_2L_k,4,330,4.957941461940683,0.39944133551234495,0.6904347134155675,0.7488101295912811,0.7510050631435612,0.4402742466517374,0.7345454995536158
Gemma4-E4B,direct,signed_error,N_piece10_logL,segmented N at 10 + log₂L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\log_2L_k,4,330,4.229637704176058,0.5268061916203243,0.737088998400411,0.7486310211024649,0.7543917808705716,0.6733029901022294,0.6294722105447436
Gemma4-E4B,direct,signed_error,logN_L_piece5,log₂N + segmented L at 5k,b=\alpha+\beta_N\log_2N+\beta_LL_k+\beta_H(L_k-5)_+,4,330,7.231805358468515,0.6241772876134255,0.5637637894684824,0.5879690818550674,0.5921636382000106,0.22587795551906042,0.4432461879591808
Gemma4-E4B,direct,signed_error,N_piece10_L_piece5,segmented N at 10 + segmented L at 5k,b=\alpha+\beta_NN+\beta_{NH}(N-10)_++\beta_LL_k+\beta_{LH}(L_k-5)_+,5,330,4.30494375787336,0.5429508163052914,0.7346263890519129,0.7422262440752818,0.7498193625479677,0.6671974851107281,0.5507779587965915
Gemma4-E4B,direct,signed_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,330,4.429166530774204,0.5659989974659972,0.7248782882409122,0.7467741513832888,0.7499722811603646,0.6546325932992195,0.5082677736607932
Gemma4-E4B,direct,signed_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,330,4.220008761243401,0.4885779106689055,0.7370591069618058,0.750700246420099,0.7564271874803674,0.6835841594272966,0.5462815279874309
Gemma4-E4B,direct,signed_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,330,4.198030330764655,0.5049960292156557,0.7376469263646304,0.7486734800669178,0.7555363792012744,0.6377063993024659,0.5416865039055211
Gemma4-E4B,direct,absolute_error,constant,constant,b=\alpha,1,330,16.342633521497063,1.7784916439430756,-0.0036428083084965035,-0.029400073525110093,-0.02372308538033896,-0.2616788429036421,-0.05954116768320428
Gemma4-E4B,direct,absolute_error,N,N,b=\alpha+\beta_NN,2,330,4.434808885259416,0.6138105513326426,0.7271101595601461,0.7363825380439284,0.7380863379947564,0.7374852483085241,0.6104220294706806
Gemma4-E4B,direct,absolute_error,L,L,b=\alpha+\beta_LL_k,2,330,15.701653406335293,1.700170287009419,0.03340251653032378,0.04582775096355052,0.049718215272848476,-0.20237080066478774,-0.03544652076231447
Gemma4-E4B,direct,absolute_error,logN,log₂ N,b=\alpha+\beta_N\log_2N,2,330,7.162628177944876,0.722351055566495,0.5538538736216162,0.5275372253533341,0.5312641075028668,0.24908652490106353,0.43491658429103985
Gemma4-E4B,direct,absolute_error,logL,log₂ L,b=\alpha+\beta_L\log_2L_k,2,330,15.550895760012342,1.645613584060323,0.039989341448527616,0.056724708538225865,0.06029542291129153,-0.19289034732886146,0.054506737879639666
Gemma4-E4B,direct,absolute_error,density,N/L,b=\alpha+\beta_DN/L_k,2,330,14.996513279008061,1.6757735381171852,0.08286995670846431,0.043409186638966424,0.05269227394646758,-0.09625435337009058,-0.3449838286366942
Gemma4-E4B,direct,absolute_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,330,14.261946231052585,1.3144367254708198,0.10903478654049947,0.010850506881262212,0.02090368444176982,-0.3933965998292739,-0.21803744720658402
Gemma4-E4B,direct,absolute_error,product,NL,b=\alpha+\beta_PNL_k,2,330,3.6413431832342034,0.5546020146773523,0.7636031247109152,0.8040486935457167,0.804649759975386,0.7575048441021162,0.3069582557420045
