model_label,mode,layer,n_confirmation,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,native_thinking,29,30,16,0.36666666666666664,0.3666666666666666,0.5333333333333333,0.6,27757011.613179423,1.5761750936508179,0.3612949550151825,5.04269564309401,304.1317021048478,2.283571295072062e-06,12.989769982968564,6.990172591805458e-05,1,0.1934937334103448,69.90172591805458
Gemma4-E4B,non_thinking,30,30,16,0.3,0.3,0.23333333333333334,0.5,-4571920.404115904,1.4877351522445679,0.759633481502533,5.432453187702106,342.37789800907507,7.380939501166223e-08,16.42177980976135,2.75455287694931e-05,1,0.05275109731190491,27.545528769493103
Gemma4-E4B,native_thinking,30,30,16,0.4,0.4,0.4666666666666667,0.6333333333333333,-71173076.74757272,1.4880270957946777,0.37618863582611084,5.099228519927962,181.86146774888334,3.1301143918786062e-06,12.674441007153963,7.094079238176346e-05,1,0.3337158118056156,70.94079238176346
Gemma4-E4B,non_thinking,31,30,16,0.2,0.2,0.23333333333333334,0.6,-9984875.354022717,1.5442521572113037,0.7789471745491028,5.394680085498722,210.83821316524296,3.0394047328654635e-07,15.006433966271189,2.4786407321691512e-05,1,0.2164537821186554,24.786407321691513
Gemma4-E4B,native_thinking,31,30,16,0.5,0.5,0.5333333333333333,0.5666666666666667,8686521.812653337,1.456923007965088,0.3787507116794586,5.25812717327939,167.39268473306467,1.579013855141472e-06,13.358710048098821,7.247545865178108e-05,1,0.06607792601831404,72.47545865178108
Gemma4-E4B,non_thinking,32,30,16,0.26666666666666666,0.26666666666666666,0.23333333333333334,0.5666666666666667,11714827.565435637,1.5401756763458252,0.7090153694152832,5.2836566117389685,168.9621424020649,3.939237073613772e-07,14.747108582537011,2.8400561496615407e-05,1,0.1017922252660275,28.40056149661541
Gemma4-E4B,native_thinking,32,30,16,0.4,0.39999999999999997,0.4666666666666667,0.7333333333333333,29231135.67874355,1.4668570756912231,0.4093146324157715,5.0014754277035225,356.8357447883057,8.831461244805088e-07,13.93977516364592,7.710504752397537e-05,1,0.1504243389335191,77.10504752397537
Gemma4-E4B,non_thinking,33,30,16,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.5,-4431093.164394799,1.5282093286514282,0.7052708864212036,5.193592583575391,262.50090381644895,5.287015511744924e-07,14.452841739768527,3.001271593570709e-05,1,0.13376230756544344,30.012715935707092
Gemma4-E4B,native_thinking,33,30,16,0.5666666666666667,0.5666666666666667,0.43333333333333335,0.7,-4622432.220659383,1.4741803407669067,0.42034175992012024,5.453142887639318,488.78464227163,1.6251302314940443e-07,15.63250769592998,7.597160533070564e-05,1,0.026134511493324086,75.97160533070564
Gemma4-E4B,non_thinking,34,30,16,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.43333333333333335,21192474.181847453,1.5295392274856567,0.7016341090202332,5.153708722098839,229.39461480646705,6.616318652065592e-07,14.228556530541633,2.959134095907211e-05,1,0.07676859690433295,29.591340959072113
Gemma4-E4B,native_thinking,34,30,16,0.6333333333333333,0.6333333333333333,0.4,0.6333333333333333,14973593.115585143,1.4957202672958374,0.42947477102279663,5.06929028580496,1398.5472561986253,1.5668030663908847e-07,15.66905837104648,7.307305026054382e-05,1,0.023229381325174537,73.07305026054382
Gemma4-E4B,non_thinking,35,30,16,0.23333333333333334,0.23333333333333334,0.3,0.4,13459548.266453546,1.5206425189971924,0.6964779496192932,5.441345998686971,188.60611151480308,1.0679396456519677e-06,13.749779330584937,3.0444846265017984e-05,1,0.1819207668365822,30.444846265017986
Gemma4-E4B,native_thinking,35,30,16,0.5666666666666667,0.5666666666666667,0.4666666666666667,0.5,-46683008.15711875,1.519193410873413,0.4591590464115143,4.769681997414073,630.3573897876017,8.054253489867913e-07,14.03189531523891,7.183352369070053e-05,1,0.060023372888239425,71.83352369070053
Gemma4-E4B,non_thinking,36,30,16,0.16666666666666666,0.16666666666666666,0.3,0.4,38002027.015755594,1.548534870147705,0.716098964214325,5.436888694830829,236.02388132035244,7.727879092058666e-07,14.073261199608037,3.1237739235162734e-05,1,0.11435138489043535,31.237739235162735
Gemma4-E4B,native_thinking,36,30,16,0.5333333333333333,0.5333333333333333,0.43333333333333335,0.6333333333333333,41295094.65459674,1.508963942527771,0.4673835039138794,4.981462225609899,1443.4609914045038,1.9399673534703652e-07,15.455424506132736,7.32199603319168e-05,1,0.02019786283629105,73.21996033191681
Gemma4-E4B,non_thinking,37,30,16,0.2,0.19999999999999998,0.3,0.4,-9305534.773017671,1.5321661233901978,0.7055659294128418,5.365698362863052,666.9208328697583,2.485656043610106e-07,15.20755902479922,3.200021687150001e-05,1,0.03291179316865548,32.000216871500015
Gemma4-E4B,native_thinking,37,30,16,0.5,0.5,0.4666666666666667,0.5333333333333333,5042157.930425344,1.4905976057052612,0.4791639447212219,5.003259781885209,1538.8491052693084,3.126868686887658e-07,14.978063566684584,7.357020792365074e-05,1,0.03420768405524671,73.57020792365074
Gemma4-E4B,non_thinking,38,30,16,0.2,0.19999999999999998,0.26666666666666666,0.4,31870837.65337928,1.544081449508667,0.733461856842041,5.189518943457656,668.0120502252087,3.2004650469951986e-07,14.954799524525612,3.139822210371494e-05,1,0.059621395903666025,31.398222103714943
Gemma4-E4B,native_thinking,38,30,16,0.4,0.39999999999999997,0.4666666666666667,0.5333333333333333,22513554.073688347,1.4843381643295288,0.4716055393218994,4.870633636816869,1166.060874431712,5.498185216131266e-07,14.413677573872311,7.381855911016464e-05,1,0.031547072262048136,73.81855911016464
Gemma4-E4B,non_thinking,39,30,16,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.4,4027105.465543905,1.5520968437194824,0.7456619143486023,5.156890677588268,842.0939984875749,2.094118105288038e-07,15.378963138339254,3.1300700604915616e-05,1,0.06421740515175026,31.30070060491562
Gemma4-E4B,native_thinking,39,30,16,0.4,0.4,0.4666666666666667,0.5666666666666667,-28131832.329692405,1.4901535511016846,0.48466193675994873,4.731705552262838,913.8064072642583,1.0230605127453844e-06,13.792711920500432,7.146271561086177e-05,1,0.036778389140754895,71.46271561086178
Gemma4-E4B,non_thinking,40,30,16,0.26666666666666666,0.26666666666666666,0.3,0.3333333333333333,33163031.769073017,1.5454127788543701,0.7737879753112793,5.210904859190315,735.4589707552233,1.647605536032028e-07,15.618772607325893,3.079000607132912e-05,1,0.07108484235027697,30.790006071329117
Gemma4-E4B,native_thinking,40,30,16,0.4,0.4,0.43333333333333335,0.6,17648473.58271711,1.5125858783721924,0.4819447994232178,4.804590885008109,3105.5911366038163,2.5971933464304774e-07,15.163664271133495,7.00753512084484e-05,1,0.012186382824868565,70.07535120844841
Gemma4-E4B,non_thinking,41,30,16,0.23333333333333334,0.2333333333333333,0.23333333333333334,0.43333333333333335,26710847.111748427,1.6072869300842285,0.8327717185020447,5.007978350836801,333.8123546019169,6.656080386019865e-07,14.2225648702858,2.6273666635155678e-05,1,0.06833214577204273,26.273666635155678
Gemma4-E4B,native_thinking,41,30,16,0.5,0.5,0.4,0.6333333333333333,-23279384.17181281,1.5462980270385742,0.5021082162857056,4.987166602822669,996.5377076128955,3.932207985337268e-07,14.748894554513504,7.236317016929388e-05,1,0.021283025223204483,72.36317016929388
