model_label,mode,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,non_thinking,13,0.3574460727042371,0.3253032014721818,0.3413746370882095,296,5,16,16,0.4027296127296127,0.3814309114309114,0.3444410017756164,-4.62885156332769,2.52294921875,7.3247644901275635,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,14,0.33725570410579897,0.28039744312989096,0.30882657361784493,296,5,16,16,0.372023517023517,0.4064595764595764,0.33695480847318376,-4.724283417007381,2.4975428581237793,7.41210036277771,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,15,0.36867078688211213,0.3086445313400272,0.33865765911106965,296,5,16,16,0.36517784017784016,0.3288996138996139,0.33018568007948645,-4.8124176571076775,2.403186798095703,7.278288984298706,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,16,0.2888853686326971,0.3083982728205239,0.2986418207266105,296,5,16,16,0.3175096525096525,0.2936615186615187,0.30592440062858983,-5.143858821662598,2.265270471572876,7.404674053192139,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,17,0.3333466791161788,0.2279652605459057,0.28065596983104224,296,5,16,16,0.42925880425880425,0.40990990990990994,0.3416642898580422,-4.664004105136275,2.353376626968384,6.887979507446289,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,18,0.3541760001672116,0.24026844589213509,0.2972222230296734,296,5,16,16,0.32325611325611325,0.34764888264888266,0.3163222323044628,-4.9987028317807205,2.1515941619873047,6.801906228065491,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,19,0.3415851520535432,0.28737201720922884,0.314478584631386,296,5,16,16,0.4078893178893178,0.41823446823446825,0.3130063219121786,-5.044468907479689,2.2516322135925293,7.193567848205566,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,20,0.3230041057505354,0.2885465416095597,0.30577532368004756,296,5,16,16,0.4248549198549199,0.41673394173394174,0.32735822917313145,-4.849767372543999,2.354942798614502,7.193779134750367,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,21,0.32398728569007207,0.2797042604143374,0.3018457730522047,296,5,16,16,0.4521937521937522,0.41457645957645956,0.3238928397271949,-4.895986527966786,2.2448372840881348,6.93080244064331,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,22,0.3435745623551476,0.34923089450104333,0.3464027284280955,296,5,16,16,0.42697320697320695,0.3723832923832924,0.3165525772154321,-4.995541463159912,2.153806209564209,6.803944635391235,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,23,0.3769638998062048,0.3161339164145516,0.3465489081103782,296,5,16,16,0.3813027963027963,0.32163741663741663,0.28516914951589417,-5.448974596045838,1.9357448816299438,6.788058543205262,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,24,0.3314724164199846,0.3867626306176192,0.3591175235188019,296,5,16,16,0.4006961506961507,0.3036890136890137,0.291172844891052,-5.3584913026519345,1.8473533391952515,6.344524812698364,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,25,0.353385343336407,0.3901029763178969,0.3717441598271519,296,5,16,16,0.3415344565344565,0.31895577395577396,0.3300216751801181,-4.8145753557064115,1.8761100769042969,5.684808659553528,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,26,0.2933613087463082,0.3385029171017387,0.31593211292402346,296,5,16,16,0.35402948402948403,0.3187755937755937,0.3182661829512243,-4.972095044449803,1.793897271156311,5.636468362808228,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,27,0.30776799446928277,0.33854381334756845,0.32315590390842563,296,5,16,16,0.3841306891306891,0.2705130455130455,0.327849032980989,-4.843260929846239,1.8115260601043701,5.525488495826721,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,28,0.28638586400396043,0.2953743542957564,0.2908801091498584,296,5,16,16,0.32360945360945365,0.28075114075114077,0.3097461760944199,-5.089940464090212,1.8559831380844116,5.991948509216309,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,29,0.2659455626769611,0.30467056582506497,0.28530806425101307,296,5,16,16,0.3514794664794665,0.2822358722358722,0.27584459414087553,-5.593355227005947,1.6233396530151367,5.884979033470154,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,30,0.2424026293357655,0.27527393183040844,0.258838280583087,296,5,16,16,0.2867514917514917,0.2815520065520066,0.2679323835184298,-5.719747924261094,1.4821133613586426,5.53166937828064,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,31,0.22834511685320563,0.2747476160409347,0.2515463664470702,296,5,16,16,0.2591611091611091,0.2628132678132678,0.28340008452790244,-5.476000245543449,1.5447065830230713,5.450621461868286,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,32,0.24263557444622058,0.27459474895376884,0.2586151616999947,296,5,16,16,0.2047010647010647,0.2871855621855622,0.2685079445450932,-5.710428599791301,1.4580551385879517,5.430212283134461,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,33,0.20988685272131719,0.28331366730516494,0.24660026001324106,296,5,16,16,0.2728899028899029,0.28405580905580907,0.2650100213731408,-5.767377028753989,1.5026520490646362,5.6701706647872925,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,34,0.24715933612283286,0.22586896426873113,0.23651415019578198,296,5,16,16,0.2478033228033228,0.27274248274248275,0.2714733732142462,-5.662727606725985,1.4434139728546143,5.316963338851929,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,35,0.27128301055464404,0.24878470879737885,0.26003385967601145,296,5,16,16,0.27387972387972387,0.28410611910611916,0.2800218466391828,-5.5280808471233485,1.468351125717163,5.243702030181884,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,36,0.2553128613009127,0.2709917336359827,0.2631522974684477,296,5,16,16,0.23732888732888732,0.25281209781209785,0.28561417604898726,-5.442202407787017,1.497009038925171,5.241368126869202,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,37,0.23821657365434037,0.24121021122288128,0.23971339243861084,296,5,16,16,0.2678278928278928,0.24015561015561016,0.2826377397106823,-5.487698486665568,1.4684628248214722,5.195565271377563,212,10,2,44,16,0.1
Gemma4-E4B,non_thinking,38,0.2563684473039177,0.22389413584228982,0.24013129157310376,296,5,16,16,0.2732332982332982,0.23154089154089155,0.27215854558822694,-5.651780245894398,1.4013828039169312,5.1491412878036495,212,10,2,44,16,0.1
