family,target,candidate,label,formula,k,cells,moderate_cells,strong_cells,median_cell_cv_r2,mean_cell_cv_r2,q25_cell_cv_r2,min_cell_cv_r2,median_cell_cv_rmse,median_cell_cv_mae,median_cell_cv_median_ae,median_cell_cv_nrmse_sd,median_request_oof_r2,median_request_oof_rmse,median_request_oof_mae,median_leave_N_out_r2,median_leave_L_out_r2,min_leave_N_out_r2,min_leave_L_out_r2,moderate_fraction,strong_fraction,selected
Direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,7,6,4,0.9200577718745007,0.7586175932971031,0.6657124304171294,0.11393138037260431,0.9288781563397307,0.5686662675008936,0.35121576686583367,0.2798988809605879,0.6547350044074178,1.7260328642669864,1.0059497820056273,0.8889485074856098,0.857689890559303,-0.2013905686755677,-1.739941080587582,0.8571428571428571,0.5714285714285714,True
Direct,signed_error,N_piece10_L_piece5,segmented N at 10 + segmented L at 5k,b=\alpha+\beta_NN+\beta_{NH}(N-10)_++\beta_LL_k+\beta_{LH}(L_k-5)_+,5,7,6,3,0.7758307671563218,0.7370378643121669,0.675398107462156,0.18721027294800197,0.9849803726824942,0.6465718002322877,0.3794475157951725,0.4686089526894956,0.6751455749682148,2.0314475054198655,1.1908279777371547,0.7424587295339151,0.5507779587965915,-0.33186311143213376,-1.502602383787135,0.8571428571428571,0.42857142857142855,False
Direct,signed_error,N_piece10_lnL,segmented N at 10 + ln L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\ln L_k,4,7,6,3,0.7741643634826394,0.7297036714367007,0.6871053211544125,0.12856231236295623,0.9886346115128877,0.6464568887157287,0.3688985198778747,0.4703474736577098,0.6664525074947745,2.0219998409231175,1.1914657813307317,0.7474678858755075,0.6294722105447428,-0.36136076222357816,-0.601009780459062,0.8571428571428571,0.42857142857142855,False
Direct,signed_error,constant,constant,b=\alpha,1,7,0,0,0.0,-0.006525830419574425,-0.00895384612054162,-0.027773120695937736,3.2027169715727304,2.31496,1.902,0.9899494936611666,-0.004786230117867163,3.267208345112134,2.3313066666666664,-0.2052838342447647,-0.032311031579761895,-0.2488006190665184,-0.17020503180795443,0.0,0.0,False
Direct,signed_error,density,N/L,b=\alpha+\beta_DN/L_k,2,7,0,0,0.3240449044472151,0.26272703024210114,0.10365369671962721,0.008564875313194054,2.8855974894912393,1.8590180578217126,1.1788367565559656,0.8137322001756647,0.08086269961274994,2.9604904260512366,1.9211524080433793,0.19752665424508298,0.08240686224587368,-0.35032007808479504,-0.39104319686582856,0.0,0.0,False
Direct,signed_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,7,0,0,0.0788184335156038,0.07179676712977143,0.04271211387214602,7.054640321269012e-05,3.073910232152328,2.2311094799842515,1.823122164919924,0.9501357456462252,0.05686247905986497,3.1416060098822847,2.2612452016372506,-0.27717410512119156,-0.11322872913105209,-0.7027988084225276,-0.2128294512808484,0.0,0.0,False
Direct,signed_error,lnL,ln L,b=\alpha+\beta_L\ln L_k,2,7,0,0,0.04182422530899477,0.062054078750057626,0.002858393172325502,-0.018111458819480397,3.135026053896908,2.2186081919375895,1.5591959663980313,0.9690264491731819,-0.000316404944200821,3.2019533212121885,2.2938100495165834,-0.1823601085489026,-0.008193462981857635,-0.23360703033651053,-0.31739106882442303,0.0,0.0,False
Direct,signed_error,lnN,ln N,b=\alpha+\beta_N\ln N,2,7,5,0,0.5106540556577441,0.44950087613791706,0.32523493339823634,0.04266565976700132,2.013739416089478,1.5375879746365029,1.2117543437156426,0.6925020039360252,0.4589120637790379,2.502268432573247,1.59544952884915,0.2555964274086425,0.41674563742998927,-0.21193984093882334,-0.22478761163524252,0.7142857142857143,0.0,False
Direct,signed_error,lnN_L,ln N + L,b=\alpha+\beta_N\ln N+\beta_LL_k,3,7,5,0,0.5779888715225006,0.5192795726059918,0.4451904416254458,0.17393900615059799,1.9104419045798744,1.5363380190570455,1.32488525241161,0.6430947876541604,0.46373291135706707,2.5029298017028094,1.5864215666188575,0.24574705708233535,0.4029010340552641,-0.005894218876314028,-0.5737077178924737,0.7142857142857143,0.0,False
Direct,signed_error,lnN_L_piece5,ln N + segmented L at 5k,b=\alpha+\beta_N\ln N+\beta_LL_k+\beta_H(L_k-5)_+,4,7,5,0,0.5879690818550671,0.5257117151533509,0.45208637449239536,0.18314319958170366,1.9052542531761283,1.5322954740472006,1.320344068069734,0.6354449620400134,0.4688537810754557,2.5082191225772656,1.5876532719721692,0.2258779555190592,0.4432461879591809,0.0035546607738625724,-1.3558024353795934,0.7142857142857143,0.0,False
