model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,prompt_running,11,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.48333333333333334,0.43,0.5399999999999999,0.157749984061059,0.1,0.4833333333333334,0.82,0.12,32
Qwen3-8B,prompt_running,11,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5233333333333333,0.47,0.5766666666666665,0.15013403972802927,0.1,0.5233333333333333,0.82,-0.013333333333333334,32
Qwen3-8B,prompt_running,11,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.3933333333333333,0.35,0.44,0.13113124074319807,0.1,0.39333333333333337,1.2,-0.47333333333333333,32
Qwen3-8B,prompt_running,12,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.54,0.49,0.5866666666666666,0.14044264997156128,0.1,0.54,0.6733333333333333,0.18,32
Qwen3-8B,prompt_running,12,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.44333333333333336,0.4000000000000001,0.4866666666666667,0.12507469032909713,0.1,0.44333333333333325,0.9166666666666666,0.18333333333333332,32
Qwen3-8B,prompt_running,12,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5066666666666667,0.4600000000000001,0.55,0.12847469449832047,0.1,0.5066666666666666,0.7266666666666667,0.12,32
Qwen3-8B,prompt_running,12,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.47333333333333333,0.4300000000000001,0.5166666666666666,0.12015315896469557,0.1,0.47333333333333344,0.7866666666666666,0.04,32
Qwen3-8B,prompt_running,12,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.52,0.4633333333333333,0.5766666666666667,0.1627352408689945,0.1,0.5199999999999999,0.77,-0.023333333333333334,32
Qwen3-8B,prompt_running,12,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38,0.3400000000000001,0.41666666666666674,0.10954451150103324,0.1,0.38,1.1,-0.32666666666666666,32
Qwen3-8B,prompt_running,13,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5533333333333333,0.5066666666666667,0.5999999999999999,0.13321834121764767,0.1,0.5533333333333333,0.65,0.13,32
Qwen3-8B,prompt_running,13,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.47,0.43000000000000005,0.51,0.11188047809743372,0.1,0.47000000000000003,0.91,0.13666666666666666,32
Qwen3-8B,prompt_running,13,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5333333333333333,0.4766666666666667,0.5866666666666667,0.16045911141715077,0.1,0.5333333333333334,0.75,0.15,32
Qwen3-8B,prompt_running,13,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4766666666666667,0.4400000000000001,0.5133333333333333,0.10400044208570935,0.1,0.4766666666666667,0.8033333333333333,0.09666666666666666,32
Qwen3-8B,prompt_running,13,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.52,0.4699166666666666,0.57,0.14479474176011817,0.1,0.5199999999999999,0.7866666666666666,-0.013333333333333334,32
Qwen3-8B,prompt_running,13,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38666666666666666,0.34666666666666673,0.42341666666666555,0.11058881072455416,0.1,0.3866666666666667,1.19,-0.37666666666666665,32
Qwen3-8B,prompt_running,14,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.5233333333333333,0.4766666666666667,0.5700833333333323,0.13565507307349295,0.1,0.5233333333333332,0.6633333333333333,0.10333333333333333,32
Qwen3-8B,prompt_running,14,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.42333333333333334,0.39000000000000007,0.4566666666666667,0.09714309861845773,0.1,0.42333333333333334,1.0,0.28,32
