model_label,fixed_grammar,site,layer,states,trajectories,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,same_unit_rank_before_city,city_end,4,508,111,0.20026426106751533,0.20044996756024655,0.20035711431388092,296,5,16,16,0.20687843687843688,0.22485257985257984,0.2412005993954077,-6.1762161728729845,1.4533592462539673,6.025520873069763,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,5,508,111,0.18265049312663534,0.14199029665567944,0.1623203948911574,296,5,16,16,0.23115830115830116,0.176024336024336,0.2543030115960535,-5.946484966398508,1.580697774887085,6.215804386138916,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,6,508,111,0.1844988551942497,0.1910039867670172,0.18775142098063344,296,5,16,16,0.208963378963379,0.1429133029133029,0.2192519119053734,-6.590566108406754,1.3981624841690063,6.376968264579773,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,7,508,111,0.2702671899044972,0.25727956019582876,0.26377337505016296,296,5,16,16,0.2662460512460513,0.19706739206739207,0.20069096184100566,-6.974721856139747,1.9048572778701782,9.491495084762573,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,8,508,111,0.32985290905317266,0.2989222979107622,0.3143876034819674,296,5,16,16,0.3716210366210366,0.2851222651222652,0.2940139405277377,-5.316320772383926,3.5702240467071533,12.143043422698975,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,9,508,111,0.3564607145886855,0.31839746694642795,0.3374290907675567,296,5,16,16,0.3394781794781795,0.24035451035451033,0.2687052799682099,-5.70723799742756,3.4100944995880127,12.69083547592163,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,10,508,111,0.41039565543310674,0.38854481883597763,0.3994702371345422,296,5,16,16,0.36187785187785193,0.29608751608751605,0.2819898677110381,-5.497664962063142,3.54514741897583,12.57189645767212,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,11,508,111,0.3993612531013909,0.34822918978716444,0.3737952214442777,296,5,16,16,0.39044343044343044,0.36002808002808,0.3053346224315884,-5.152239474915162,4.358613967895508,14.274876308441161,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,12,508,111,0.34938702832540847,0.3240342273035145,0.3367106278144615,296,5,16,16,0.37964548964548966,0.30072949572949575,0.2646590023628336,-5.773133289162114,3.928272247314453,14.842768287658691,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,city_end,13,508,111,0.3712564996066444,0.3442689714736054,0.35776273554012494,296,5,16,16,0.4004896454896455,0.3037381537381537,0.2702464089238605,-5.682400683086518,3.825242280960083,14.154646110534667,212,10,2,44,16,0.1
