model_label,source_layer,target_layer,normalized_depth,condition,rows,seeds,mean_target_donor_fraction,mean_donor_log_odds_gain,argmax_change_rate,mean_replacement_delta_norm,geometry_discovery_centroid_r2
Qwen3-8B,27,28,0.8,aligned_dose_1,40,10,0.7331124648451806,14.5375,0.775,62.923540925979616,0.9999633667878628
Qwen3-8B,27,28,0.8,aligned_dose_2,40,10,1.4081924587488175,16.125,0.85,125.8471909046173,0.9999633667878628
Qwen3-8B,27,28,0.8,matched_orthogonal,40,10,-0.00680778730893508,1.44375,0.05,62.92352705001831,0.9999633667878628
Qwen3-8B,28,29,0.8285714285714286,aligned_dose_1,40,10,0.9486359611153603,15.28125,0.825,79.83623037338256,0.9999684440865428
Qwen3-8B,28,29,0.8285714285714286,aligned_dose_2,40,10,1.8095519453287126,17.2,0.925,159.67249431610108,0.9999684440865428
Qwen3-8B,28,29,0.8285714285714286,matched_orthogonal,40,10,0.006892286427319055,3.3,0.25,79.83622698783874,0.9999684440865428
Qwen3-8B,31,32,0.9142857142857144,aligned_dose_1,40,10,0.8894847810268403,15.25,0.8,115.06959447860717,0.999998957964828
Qwen3-8B,31,32,0.9142857142857144,aligned_dose_2,40,10,1.7219525784254075,17.85,0.875,230.13926010131837,0.999998957964828
Qwen3-8B,31,32,0.9142857142857144,matched_orthogonal,40,10,0.00477825608104467,1.41875,0.175,115.06959943771362,0.999998957964828
Qwen3-8B,34,35,1.0,aligned_dose_1,40,10,0.906609345972538,14.6375,0.7,151.22613515853882,0.9999986833467932
Qwen3-8B,34,35,1.0,aligned_dose_2,40,10,1.7221378922462462,19.471875,0.85,302.4522880554199,0.9999986833467932
Qwen3-8B,34,35,1.0,matched_orthogonal,40,10,0.023592932452447684,1.61875,0.225,151.22610569000244,0.9999986833467932
