model_label,source_layer,target_layer,normalized_depth,contrast,metric,seeds,pairs_per_seed,mean_contrast,bootstrap_95ci_low,bootstrap_95ci_high,exact_seed_signflip_p_two_sided,seed_effect_min,seed_effect_max,holm_p_within_model_metric_contrast,significant_holm_0_05
Gemma4-E4B,36,37,0.902439024390244,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.7969907463659183,1.7791321227869774,1.8149197386563174,0.001953125,1.7469014368980427,1.8446293740998954,0.02734375,True
Gemma4-E4B,39,40,0.975609756097561,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.851958949348773,1.8349796793877613,1.8677020963046378,0.001953125,1.7995257501024753,1.8878139521402773,0.02734375,True
Gemma4-E4B,40,41,1.0,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.7264619619585573,1.6977498930878938,1.7511767824739217,0.001953125,1.6468145120888948,1.783779484219849,0.02734375,True
Qwen3-8B,0,1,0.0285714285714285,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,-0.0018849755229894203,-0.060194010869672646,0.04395144338421232,0.9609375,-0.22244401671923697,0.08740909062908028,0.9609375,False
Qwen3-8B,3,4,0.1142857142857142,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.32300652066041946,0.29574503392592305,0.3636940903641516,0.001953125,0.27475683961529285,0.4856645355466753,0.021484375,True
Qwen3-8B,7,8,0.2285714285714285,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.4042190974191726,0.38097372063039076,0.42971047475760993,0.001953125,0.35674436321187386,0.4754522060975432,0.021484375,True
Qwen3-8B,11,12,0.3428571428571428,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.0348458100575955,0.9934704187291209,1.0689686426892877,0.001953125,0.8834191139321774,1.1022823257371783,0.021484375,True
Qwen3-8B,15,16,0.4571428571428571,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.135399144324765,1.1164999238382733,1.153811744386785,0.001953125,1.0839937405180535,1.1891188556328416,0.021484375,True
Qwen3-8B,19,20,0.5714285714285714,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,0.500281082309084,0.4912052084458992,0.5090403153095394,0.001953125,0.4747324927011505,0.5252386924112216,0.021484375,True
Qwen3-8B,23,24,0.6857142857142857,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.6119967871083645,1.5975560325139668,1.6283858303333545,0.001953125,1.5766794537194073,1.6681268942193128,0.021484375,True
Qwen3-8B,27,28,0.8,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.4150002460577524,1.3979220216831891,1.429536053665215,0.001953125,1.35404481459409,1.4543553602416068,0.021484375,True
Qwen3-8B,28,29,0.8285714285714286,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.8026596589013935,1.7571681948378681,1.8435661451891066,0.001953125,1.6804301356896758,1.885753171518445,0.021484375,True
Qwen3-8B,31,32,0.9142857142857144,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.7171743223443627,1.708336471314542,1.7257833956973627,0.001953125,1.690659062936902,1.7396449763327837,0.021484375,True
Qwen3-8B,34,35,1.0,aligned_dose_2_minus_orthogonal,target_donor_fraction,10,4,1.6985449597937987,1.6890444033805396,1.7096012656987296,0.001953125,1.6750089196721092,1.7384614222683012,0.021484375,True
Gemma4-E4B,0,1,0.024390243902439,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,10,4,0.009375,-0.00625,0.028125,0.53125,-0.03125,0.0625,1.0,False
Gemma4-E4B,3,4,0.0975609756097561,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,10,4,0.0046875,-0.021875,0.034375,0.875,-0.0625,0.09375,1.0,False
