model_label,seed,receiver_count,donor_count,support,condition,source_layer,target_layer,replacement_delta_norm,clean_donor_log_odds,condition_donor_log_odds,donor_log_odds_gain,target_donor_fraction,argmax_token_changed
Qwen3-8B,1261,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-14.75,-7.0,7.75,0.12302850931882858,0
Qwen3-8B,1261,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-21.5,-21.25,0.25,-0.00016481365310028195,0
Qwen3-8B,1261,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-21.5,-21.5,0.0,-0.0008862283430062234,0
Qwen3-8B,1261,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-21.5,-21.25,0.25,-0.00015636355965398252,0
Qwen3-8B,1261,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-21.5,7.0,28.5,0.9947606325149536,1
Qwen3-8B,1261,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-21.5,17.75,39.25,1.87576162815094,1
Qwen3-8B,1261,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-21.5,-20.0,1.5,-0.08067411184310913,0
Qwen3-8B,1261,5,6,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-3.0,-3.0,0.0,-0.00512798922136426,0
Qwen3-8B,1261,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-3.0,-3.25,-0.25,0.0007829320966266096,0
Qwen3-8B,1261,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123071670532227,-3.0,-3.0,0.0,-0.00027059795684181154,0
Qwen3-8B,1261,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-3.0,-3.25,-0.25,0.7925635576248169,0
Qwen3-8B,1261,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-3.0,-2.0,1.0,1.6211696863174438,1
Qwen3-8B,1261,5,6,answer_query_relay,matched_orthogonal,28,29,23.79258155822754,-3.0,-3.25,-0.25,0.03960072994232178,0
Qwen3-8B,1261,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,12.0,11.75,-0.25,0.00186287856195122,0
Qwen3-8B,1261,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,12.0,11.75,-0.25,0.003226416651159525,0
Qwen3-8B,1261,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123072624206543,12.0,11.75,-0.25,-0.00017980592383537441,0
Qwen3-8B,1261,6,5,answer_query_relay,aligned_dose_1,28,29,23.792583465576172,12.0,13.75,1.75,0.702799379825592,0
Qwen3-8B,1261,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,12.0,14.0,2.0,1.3994758129119873,0
