candidate,candidate_label,scheme,fold,train_n,test_n,asinh_mae,asinh_rmse
model_specific_log_interaction,Model-specific log + interaction,length,10000,1780,888,1.2565544625721945,1.8003139332893385
model_specific_log_interaction,Model-specific log + interaction,length,2000,1774,894,1.136617860350539,1.7682311014006606
model_specific_log_interaction,Model-specific log + interaction,length,5000,1782,886,1.0804193280229681,1.6469258667897628
model_specific_log_interaction,Model-specific log + interaction,needle_level,1,2400,268,1.4078316530815407,2.1163187208118504
model_specific_log_interaction,Model-specific log + interaction,needle_level,10,2402,266,1.141748411995813,1.7042120121540187
model_specific_log_interaction,Model-specific log + interaction,needle_level,2,2401,267,0.9030360559042224,1.4145419962249046
model_specific_log_interaction,Model-specific log + interaction,needle_level,20,2404,264,1.5472326099182316,1.9776592172081986
model_specific_log_interaction,Model-specific log + interaction,needle_level,3,2400,268,0.9209081566764523,1.3816208018188185
model_specific_log_interaction,Model-specific log + interaction,needle_level,30,2406,262,2.053250928263321,2.5160699703489176
model_specific_log_interaction,Model-specific log + interaction,needle_level,4,2401,267,0.9228589818139772,1.4297302306875528
model_specific_log_interaction,Model-specific log + interaction,needle_level,5,2399,269,0.9323454932009155,1.4596264327773696
model_specific_log_interaction,Model-specific log + interaction,needle_level,6,2399,269,1.0005465230519799,1.5813488158965638
model_specific_log_interaction,Model-specific log + interaction,needle_level,8,2400,268,1.0276846420774615,1.5894146851230149
model_specific_log_interaction,Model-specific log + interaction,blocked_cell,0,2139,529,1.1121565163269858,1.6850586996785644
model_specific_log_interaction,Model-specific log + interaction,blocked_cell,1,2133,535,1.1019691439703194,1.6507797665981154
model_specific_log_interaction,Model-specific log + interaction,blocked_cell,2,2135,533,1.078174919322669,1.6155864301503908
model_specific_log_interaction,Model-specific log + interaction,blocked_cell,3,2132,536,1.1896867322374447,1.7385242795889708
model_specific_log_interaction,Model-specific log + interaction,blocked_cell,4,2133,535,1.1384327421856235,1.6653707625523606
model_specific_raw,Model-specific raw L + N,seed,1234,2137,531,1.1108433451550512,1.7299826461554795
model_specific_raw,Model-specific raw L + N,seed,1235,2132,536,1.1006186505221747,1.6721160509657849
model_specific_raw,Model-specific raw L + N,seed,1236,2134,534,1.1144228275901604,1.7178811778134266
model_specific_raw,Model-specific raw L + N,seed,1237,2132,536,1.066960426153856,1.6304205949206816
model_specific_raw,Model-specific raw L + N,seed,1238,2137,531,1.0990468901002992,1.7102901649924953
model_specific_raw,Model-specific raw L + N,length,10000,1780,888,1.3297989973222653,1.8520003950977628
model_specific_raw,Model-specific raw L + N,length,2000,1774,894,1.0994425377049557,1.7219169302052588
model_specific_raw,Model-specific raw L + N,length,5000,1782,886,1.054628557167968,1.6274808325790806
model_specific_raw,Model-specific raw L + N,needle_level,1,2400,268,1.2320547418214514,1.960937291146607
model_specific_raw,Model-specific raw L + N,needle_level,10,2402,266,1.1163307189918903,1.7331163326059618
model_specific_raw,Model-specific raw L + N,needle_level,2,2401,267,0.9192047680324891,1.441606580525498
model_specific_raw,Model-specific raw L + N,needle_level,20,2404,264,1.4674051077597514,1.993186287155819
model_specific_raw,Model-specific raw L + N,needle_level,3,2400,268,0.9298310959298156,1.408072472779193
model_specific_raw,Model-specific raw L + N,needle_level,30,2406,262,2.0056153002423165,2.5051646793040043
model_specific_raw,Model-specific raw L + N,needle_level,4,2401,267,0.9004017991823354,1.3908763327884053
model_specific_raw,Model-specific raw L + N,needle_level,5,2399,269,0.9211077775219243,1.4301355121184434
model_specific_raw,Model-specific raw L + N,needle_level,6,2399,269,0.9808584974055687,1.5618792119382225
model_specific_raw,Model-specific raw L + N,needle_level,8,2400,268,1.0148809999257067,1.601928222562977
model_specific_raw,Model-specific raw L + N,blocked_cell,0,2139,529,1.0514907247441532,1.6260574198204962
model_specific_raw,Model-specific raw L + N,blocked_cell,1,2133,535,1.065584083114814,1.6203669175928763
model_specific_raw,Model-specific raw L + N,blocked_cell,2,2135,533,1.044657812221171,1.6244258044237305
model_specific_raw,Model-specific raw L + N,blocked_cell,3,2132,536,1.1203554754294258,1.706183901044233
model_specific_raw,Model-specific raw L + N,blocked_cell,4,2133,535,1.1053883691680788,1.666563456474291
