model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.4,span_mean,3,27,full_attention,180,20,0.0020978833836244,0.6600476088599401,0.0014054476689419,3.3968873510918347,3.850897678921996,True,True,True,209.0
Qwen3-8B,v4.4,span_mean,3,28,full_attention,180,20,0.0020514824211077,0.7064211294157674,0.0014083761372058,3.2394743744943644,4.067137414014578,True,True,True,208.0
Qwen3-8B,v4.4,span_mean,3,29,full_attention,180,20,0.0011136090435797,0.7313994268407941,0.0008107070481052,1.8268449044853765,4.284222469692608,True,True,True,358.0
Qwen3-8B,v4.4,span_mean,3,30,full_attention,180,20,0.0023649759190978,0.7205717274195981,0.0016858145971684,3.817119903502233,4.183311269392671,True,True,True,166.0
Qwen3-8B,v4.4,span_mean,3,31,full_attention,180,20,0.0016142480131899,0.7783072377059472,0.0012375954382446,2.6033630968644887,4.554272477273235,True,True,True,242.0
Qwen3-8B,v4.4,span_mean,4,0,full_attention,180,20,0.0017944969108788,0.6841315190454192,0.0012294691336308,3.1802856416676217,3.979246673398831,True,True,True,244.0
Qwen3-8B,v4.4,span_mean,4,1,full_attention,180,20,0.0015272946698864,0.7340516718455894,0.0010988136923428,2.652410637918782,4.272191448877417,True,True,True,270.0
Qwen3-8B,v4.4,span_mean,4,2,full_attention,180,20,0.001930267603398,0.779917661976549,0.001484003421348,3.4276156387407597,4.522331509392789,True,True,True,196.0
Qwen3-8B,v4.4,span_mean,4,3,full_attention,180,20,0.0011020838619236,0.7535475620814712,0.0008190275044581,1.976236797013169,4.411092854915078,True,True,True,352.0
Qwen3-8B,v4.4,span_mean,4,4,full_attention,180,20,0.0010742386864775,0.7063519135338571,0.0007400662425698,1.9152356749009607,4.118497194850423,True,True,True,383.0
