model,pooling,layer,full_space_discovery_cv_r2,pca3_discovery_cv_r2,pca3_ridge_alpha,pca_evr_pc1,pca_evr_pc1_2,pca_evr_pc1_3,pca_evr_pc1_6,count_signal_capture_pc1_3,discovery_loo_noise_to_signal,discovery_compactness,centroid_step_cv,centroid_path_to_chord,centroid_successive_cosine,manifold_fidelity_m3,within_decodability_gate,probe_optimal,manifold_display
Qwen3-8B,span_mean,19,0.9883289694786072,0.832624810560896,0.1,0.8940833806991577,0.9366903938353062,0.9467976875603199,0.9598122956231236,0.8862245912801328,3.058606453730445,0.24638998912566548,0.3933529257774353,4.314699962820025,-0.3375325753315654,0.20673977712519725,True,False,False
Qwen3-8B,span_mean,20,0.9897013068199156,0.8281951801439718,0.1,0.8770024180412292,0.9244589097797871,0.9368249867111444,0.952007504645735,0.8784665402437848,2.9459370161078393,0.2534252310459764,0.3786326646804809,4.215465100091539,-0.3446761022756915,0.2085612115780354,True,False,False
Qwen3-8B,span_mean,21,0.9894437074661256,0.8237349934805499,0.1,0.8588841557502747,0.914605088531971,0.9301088759675622,0.9463826296851039,0.8763107734777345,2.8144479798945117,0.2621611319045056,0.3764305710792541,4.038698300786159,-0.3332107045777332,0.21367821315528363,True,False,False
Qwen3-8B,span_mean,22,0.9892992377281188,0.8195988562930321,0.1,0.8308283686637878,0.8988932371139526,0.9163479991257191,0.9354268140159547,0.8718944144983336,2.615168415456772,0.2766122860900386,0.3809801340103149,3.81729496119557,-0.3398461924286292,0.22100179310000165,True,False,False
Qwen3-8B,span_mean,23,0.9908741474151612,0.808349164177082,0.1,0.7813886404037476,0.8669620603322983,0.8888893555849791,0.9129999792203307,0.8455774223125131,2.3791172350259253,0.2959352784906641,0.3713747859001159,3.720000104663304,-0.3560749103057752,0.2224322856353372,True,False,False
Qwen3-8B,span_mean,24,0.9910192728042604,0.8093156019044561,0.1,0.7346947193145752,0.8404808789491653,0.865214366465807,0.8929969910532236,0.832400034155978,2.1628740430429363,0.31616813897461454,0.3808799982070923,3.5664275416865494,-0.3589538664583545,0.22770570639148394,True,False,False
Qwen3-8B,span_mean,25,0.9916039228439332,0.807963972921797,0.1,0.697372555732727,0.8263330310583115,0.8536372054368258,0.8824218865483999,0.8358819351015463,1.978066564101065,0.3357883306083361,0.407952070236206,3.352640254422001,-0.3560793470863701,0.23959837827553512,True,False,False
Qwen3-8B,span_mean,26,0.9910013675689696,0.8056714895540754,0.1,0.6672600507736206,0.808957576751709,0.8387859538197517,0.870038291439414,0.8316819675866783,1.881388267638596,0.3470549287755436,0.4133550524711609,3.3086885302928084,-0.3609029179766111,0.24210661238951714,True,False,False
Qwen3-8B,span_mean,27,0.9903193116188048,0.8096992303581704,0.1,0.6244250535964966,0.7885805517435074,0.8208233304321766,0.8558733398094773,0.8322950314565495,1.7133191367580338,0.368552296872396,0.4307016730308532,3.1694840689152763,-0.3580772981629931,0.25178283319764205,True,False,False
Qwen3-8B,span_mean,28,0.9896407127380372,0.8085116412015537,0.1,0.5778076648712158,0.763696938753128,0.7996791712939739,0.8381831431761384,0.8382284575511362,1.5572511863544045,0.3910448865313037,0.4627682268619537,3.0186698615536045,-0.3470452722969538,0.26212279883428746,True,False,False
