model,design_variant,pooling,head_rank,layer,head,metric,confirmation_examples,correct_examples,wrong_examples,counts_with_both_outcomes,wrong_minus_correct_count_adjusted,bootstrap_valid_replicates,bootstrap_ci_low,bootstrap_ci_high,descriptive_only_small_wrong_group
Qwen3-8B,v4.3,span_end,1,29,3,pool_coverage,100,48,52,5,-0.0064245321203663,1000,-0.0272869303320835,0.0045626386908371,False
Qwen3-8B,v4.3,span_end,1,29,3,pool_enrichment,100,48,52,5,-18.2815939964986,1000,-75.85046237718043,35.81764082956228,False
Qwen3-8B,v4.3,span_end,1,29,3,pool_min_to_mean,100,48,52,5,-0.0013332833108373,1000,-0.0054225358280782,0.0005220034915348,False
Qwen3-8B,v4.3,span_end,2,24,29,pool_primary,100,48,52,5,-0.0001385027921275,1000,-0.0025768962608138,0.0025023747984259,False
Qwen3-8B,v4.3,span_end,2,24,29,pool_coverage,100,48,52,5,-0.0015877398519967,1000,-0.1118844360735412,0.0849469360611583,False
Qwen3-8B,v4.3,span_end,2,24,29,pool_enrichment,100,48,52,5,-1.627386323253868,1000,-11.066082549461582,6.62471596422443,False
Qwen3-8B,v4.3,span_end,2,24,29,pool_min_to_mean,100,48,52,5,-0.0274206157689262,1000,-0.1502898786168712,0.0368212695356239,False
Qwen3-8B,v4.3,span_end,3,24,30,pool_primary,100,48,52,5,-0.0002005940505855,1000,-0.0012917154755036,0.0008240116425632,False
Qwen3-8B,v4.3,span_end,3,24,30,pool_coverage,100,48,52,5,-0.0279458731051418,1000,-0.0819337451536986,0.0253250879208687,False
Qwen3-8B,v4.3,span_end,3,24,30,pool_enrichment,100,48,52,5,1.3287544884611378,1000,-4.1783197414850815,6.348991294696221,False
Qwen3-8B,v4.3,span_end,3,24,30,pool_min_to_mean,100,48,52,5,-0.0072044869279519,1000,-0.0230629088300981,0.006851071234333,False
Qwen3-8B,v4.3,span_end,4,8,16,pool_primary,100,48,52,5,0.0004104123902639,1000,-0.0002720111590004,0.0013517420256224,False
Qwen3-8B,v4.3,span_end,4,8,16,pool_coverage,100,48,52,5,0.016073852286326,1000,-0.0569470694877602,0.0817316034692563,False
Qwen3-8B,v4.3,span_end,4,8,16,pool_enrichment,100,48,52,5,1.0183953208411565,1000,-0.7009908184223981,2.6926962773641425,False
Qwen3-8B,v4.3,span_end,4,8,16,pool_min_to_mean,100,48,52,5,0.0423622203632429,1000,-0.0567312191644026,0.1358179897120429,False
Qwen3-8B,v4.3,span_end,5,8,18,pool_primary,100,48,52,5,0.0003300994989723,1000,-0.0001394377786021,0.0009103703104922,False
Qwen3-8B,v4.3,span_end,5,8,18,pool_coverage,100,48,52,5,0.0267332173738347,1000,-0.0431838722222319,0.0865090127842817,False
