model_label,grammar_class,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_before_city,30,398,0.7820532965772904,0.7734710637516364,0.7777621801644634,268,5,16,16,0.7428626052310263,0.6401433069854122,0.9473736436555562,-0.2347870170028898,4.917733669281006,5.1909124791622165,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,31,398,0.7871796234238185,0.758687372497357,0.7729334979605877,268,5,16,16,0.7341324465008675,0.6345877514298567,0.9218578478494549,-0.3533604277958235,4.701845169067383,5.100401520729065,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,32,398,0.7586381213529046,0.7088302951634995,0.7337342082582021,268,5,16,16,0.6884412955465586,0.5827080521817364,0.8881619787311432,-0.5150782244887082,4.449105739593506,5.009340465068817,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,33,398,0.7123005343612928,0.6660564385448285,0.6891784864530607,268,5,16,16,0.6969645267013689,0.6159681254418097,0.8630390623501017,-0.6396954706674441,4.301465034484863,4.984090781211853,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,34,398,0.7512377466731182,0.6983990393278319,0.724818393000475,268,5,16,16,0.671860098965362,0.595515069725596,0.900074534725961,-0.4572152536080249,4.512921333312988,5.0139418005943295,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,35,398,0.6101521486912354,0.5412810605573762,0.5757166046243058,268,5,16,16,0.5158277103013945,0.46496497654392394,0.833596128102938,-0.7904431125596356,3.8832297325134277,4.658406633138656,130,8,4,19,16,0.1
Gemma4-E4B,same_unit_rank_before_city,0,508,0.32018452886745,0.18829778763223495,0.2542411582498425,296,5,16,16,0.312017082017082,0.23566924066924066,0.13281891315425087,-8.767400778770478,2.528601884841919,19.037965488433837,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,1,508,0.33221654628846176,0.2717328379282913,0.3019746921083765,296,5,16,16,0.24279922779922777,0.19545279045279046,0.16660798329837823,-7.7830419248886065,2.8206186294555664,16.929672718048096,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,2,508,0.30671229386675425,0.254238661108253,0.2804754774875036,296,5,16,16,0.2994875394875395,0.295978120978121,0.1388400051096564,-8.574853790175116,2.2728052139282227,16.369959163665772,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,3,508,0.3248949648935041,0.26400053212027497,0.29444774850688954,296,5,16,16,0.27934187434187435,0.2677097227097227,0.15787670935937692,-8.016819342271047,2.5317776203155518,16.036422538757325,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,4,508,0.37539708012293643,0.2963418683957357,0.33586947425933605,296,5,16,16,0.3822762372762373,0.33786942786942786,0.19198311834506238,-7.1673695844187035,2.845689058303833,14.82260046005249,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,5,508,0.43289770630128166,0.39632003953140205,0.41460887291634185,296,5,16,16,0.4791102141102141,0.36996021996021994,0.18532488809519662,-7.32066253446357,3.049314022064209,16.45388298034668,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,6,508,0.44114568649526936,0.4143597333251529,0.42775270991021114,296,5,16,16,0.4605399555399556,0.36956651456651457,0.19206128086649876,-7.165601791304685,3.0414021015167236,15.83558168411255,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,7,508,0.44097638573934317,0.47909351855475624,0.4600349521470497,296,5,16,16,0.46629460629460623,0.3670960570960571,0.20485484262275483,-6.885537651768775,2.9743893146514893,14.519497203826905,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,8,508,0.49143681474651213,0.45449752051369946,0.4729671676301058,296,5,16,16,0.4706639756639756,0.3865795015795016,0.1976351940908498,-7.04135715424198,2.816789150238037,14.252467346191406,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,9,508,0.5038842380857761,0.49179393676647243,0.49783908742612426,296,5,16,16,0.5294173394173394,0.39849128349128343,0.19669211049455154,-7.062130596912262,2.7079219818115234,13.76731367111206,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,10,508,0.6459984757168418,0.5814573248899371,0.6137279003033894,296,5,16,16,0.601029016029016,0.4766467766467767,0.2949782464270513,-5.302100104796082,3.676708936691284,12.464339256286621,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,11,508,0.6813449577226667,0.5816518733546597,0.6314984155386631,296,5,16,16,0.5554633204633206,0.4552457002457002,0.2704650444219665,-5.678888562344008,3.8730545043945312,14.31998176574707,212,10,2,44,16,0.1
Gemma4-E4B,same_unit_rank_before_city,12,508,0.5826954508688255,0.5104052874021914,0.5465503691355085,296,5,16,16,0.5243564993564993,0.4064864864864865,0.23520989217643115,-6.285444171737209,3.5089046955108643,14.918185043334962,212,10,2,44,16,0.1
