model_label,seed,gold_count,layer,normalized_depth,clean_correct,clean_absolute_error,absolute_error_specificity,candidate_absolute_error_damage_from_clean,control_absolute_error_damage_from_clean,accuracy_damage_specificity,candidate_correct_damage_from_clean,control_correct_damage_from_clean
Gemma4-E4B,1255,7,40,0.975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,7,41,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,4,0.0975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,8,0.1951219512195122,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,9,0.2195121951219512,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,12,0.2926829268292683,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,16,0.3902439024390244,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,20,0.4878048780487805,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,24,0.5853658536585366,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,28,0.6829268292682927,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,32,0.7804878048780488,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,36,0.8780487804878049,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,40,0.975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,8,41,1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,4,0.0975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,8,0.1951219512195122,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,9,0.2195121951219512,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,12,0.2926829268292683,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,16,0.3902439024390244,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,20,0.4878048780487805,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,24,0.5853658536585366,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,28,0.6829268292682927,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,32,0.7804878048780488,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,36,0.8780487804878049,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,40,0.975609756097561,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,9,41,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,4,0.0975609756097561,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,8,0.1951219512195122,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,9,0.2195121951219512,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,12,0.2926829268292683,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,16,0.3902439024390244,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,20,0.4878048780487805,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,24,0.5853658536585366,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
Gemma4-E4B,1255,10,28,0.6829268292682927,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0
