model_label,site_kind,layer,pca_dim,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,city_end,17,16,0.5501402677297389,0.47793225030326514,0.514036259016502,869,5,16,16,0.5719219850838022,0.5072431483446744,0.284951185440892,-5.452295319543474,3.0683436393737793,10.76796236038208,465,10,8,85,16,0.1
Qwen3-8B,city_end,18,16,0.5925646011763983,0.5534437996641103,0.5730042004202542,869,5,16,16,0.5902342070113862,0.5284775471129293,0.3166025514318539,-4.99485589573757,3.222853183746338,10.179492139816285,465,10,8,85,16,0.1
Qwen3-8B,city_end,19,16,0.6082767911447904,0.5611288032336758,0.5847027971892331,869,5,16,16,0.5589410211048718,0.5234487586261096,0.3184985401235296,-4.968925539652035,3.222620725631714,10.118164825439454,465,10,8,85,16,0.1
Qwen3-8B,city_end,20,16,0.5839493670594432,0.5278751506855335,0.5559122588724883,869,5,16,16,0.5160781795385166,0.5264267387120727,0.32355285972287046,-4.900547573117973,3.3117499351501465,10.235576152801514,465,10,8,85,16,0.1
Qwen3-8B,city_end,21,16,0.5653464459619657,0.4944702993193054,0.5299083726406355,869,5,16,16,0.5554377052447365,0.5305878427960311,0.3095775941625628,-5.092304791380023,3.3001506328582764,10.660172748565675,465,10,8,85,16,0.1
Qwen3-8B,city_end,22,16,0.516591597514371,0.48359889988351484,0.500095248698943,869,5,16,16,0.5381852816938347,0.5052147844817964,0.27317436606510137,-5.63560056084171,2.8773303031921387,10.532944011688233,465,10,8,85,16,0.1
Qwen3-8B,city_end,23,16,0.5100004173376811,0.4494759465260332,0.47973818193185713,869,5,16,16,0.5000347108972534,0.4683924698629533,0.24421627991181363,-6.122253885475556,2.724940538406372,11.157898807525635,465,10,8,85,16,0.1
Qwen3-8B,city_end,24,16,0.4778216098740982,0.4097403732903887,0.4437809915822435,869,5,16,16,0.48753480346327605,0.42859526885982796,0.22863306405422792,-6.408609633635743,2.544133424758911,11.127583122253418,465,10,8,85,16,0.1
Qwen3-8B,city_end,25,16,0.47089461684108097,0.4291280335212157,0.45001132518114834,869,5,16,16,0.4282727642991363,0.4025967437451232,0.21368626977864252,-6.702233821454256,2.299442768096924,10.760835361480712,465,10,8,85,16,0.1
Qwen3-8B,city_end,26,16,0.4311060047524043,0.36968254267375844,0.40039427371308134,869,5,16,16,0.4543402007339578,0.3780012572643908,0.19045634138231773,-7.202045626118611,2.072657823562622,10.88258762359619,465,10,8,85,16,0.1
Qwen3-8B,city_end,27,16,0.40586846076738475,0.3664856284819508,0.3861770446246678,869,5,16,16,0.39399740833286595,0.37161390947877887,0.17956581212070297,-7.457763459575184,1.9653199911117554,10.944845056533813,465,10,8,85,16,0.1
Qwen3-8B,city_end,28,16,0.37835367644675627,0.34007522916028277,0.3592144528035195,869,5,16,16,0.4128409805573237,0.3502893314391784,0.17456928753202441,-7.580321605652549,1.9149682521820068,10.969674444198608,465,10,8,85,16,0.1
Qwen3-8B,city_end,29,16,0.37787060391934346,0.3223018426474143,0.3500862232833789,869,5,16,16,0.34386120287550004,0.3145087330597372,0.15256595334357548,-8.165423728342454,1.6450300216674805,10.782418918609618,465,10,8,85,16,0.1
Qwen3-8B,city_end,30,16,0.3626600860321211,0.3087569886053314,0.33570853731872624,869,5,16,16,0.35194459115856536,0.308249606458277,0.16478177472980063,-7.830908240222727,1.7810852527618408,10.808751487731934,465,10,8,85,16,0.1
Qwen3-8B,city_end,31,16,0.3678773213617636,0.31677611054981647,0.34232671595579,869,5,16,16,0.35264215237057045,0.29407815449123986,0.15816231982854345,-8.008969736808108,1.7140083312988281,10.837020683288575,465,10,8,85,16,0.1
Qwen3-8B,city_end,32,16,0.3576631538987495,0.32053807084857655,0.339100612373663,869,5,16,16,0.332770060463763,0.288460222746521,0.15603737232919848,-8.06771371821782,1.7100553512573242,10.959267807006835,465,10,8,85,16,0.1
Qwen3-8B,city_end,33,16,0.36013813673089945,0.3363260012430031,0.34823206898695125,869,5,16,16,0.39290388552232913,0.3026908588874544,0.16954504750261754,-7.707148916641204,1.8392961025238037,10.84842128753662,465,10,8,85,16,0.1
Qwen3-8B,city_end,34,16,0.36362826906020607,0.3045900084615738,0.33410913876088993,869,5,16,16,0.40607580957608214,0.33108640838568304,0.160130397770123,-7.9552621754534725,1.651624083518982,10.314244556427003,465,10,8,85,16,0.1
Qwen3-8B,city_end,35,16,0.3855073030521206,0.30750138899236423,0.34650434602224245,869,5,16,16,0.3766955840199101,0.3092179028677498,0.15862466733860697,-7.99629275681534,1.662018060684204,10.477677202224731,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,0,16,0.12240783235164573,0.11868607515988336,0.12054695375576455,869,5,16,16,0.14483829895594602,0.13156671759612934,0.04843274911267754,-13.148608790727893,0.4344508647918701,8.970187997817993,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,1,16,0.29597964540837823,0.23260765282860638,0.2642936491184923,869,5,16,16,0.2410608565333734,0.19104145986781934,0.07252555034611566,-11.395089669530913,0.8061782121658325,11.115782070159913,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,2,16,0.3795650216447918,0.3031007828056533,0.3413329022252225,869,5,16,16,0.3758394018528814,0.2650634576386117,0.09750855494257468,-10.109572796720878,0.9862141609191895,10.11412959098816,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,3,16,0.45066846758084295,0.2903136813830386,0.37049107448194074,869,5,16,16,0.39067403764460484,0.2665696443159652,0.1068908210525812,-9.710595870023328,1.0649991035461426,9.963428974151611,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,4,16,0.48632451874986893,0.39599941085417906,0.44116196480202396,869,5,16,16,0.44944058450179786,0.37822091189874507,0.16256003008607328,-7.889862290183794,1.47965407371521,9.10220103263855,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,5,16,0.4138087985090376,0.31952326699121614,0.3666660327501269,869,5,16,16,0.4346722400487442,0.3151800631481777,0.10910748386883737,-9.621454593890338,1.4759916067123413,13.527867698669434,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,6,16,0.468544219815736,0.3927921454794405,0.43066818264758827,869,5,16,16,0.41735089020381044,0.36874867390097366,0.12387572443450295,-9.070137927126245,1.7951714992523193,14.491713428497315,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,7,16,0.5332427463491912,0.425849054342245,0.4795459003457181,869,5,16,16,0.4257248681887062,0.3536268924079708,0.14692208354736325,-8.329129214191312,1.8270337581634521,12.435392379760742,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,8,16,0.5694462304014036,0.41874757302739535,0.49409690171439946,869,5,16,16,0.5116734135499595,0.3569213920259998,0.18232423726326166,-7.391555945923302,1.932896375656128,10.601423072814942,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,9,16,0.5998927030774908,0.43121726719025066,0.5155549851338708,869,5,16,16,0.5440141546153872,0.4437851390151085,0.18123423155170357,-7.417597692976,1.9190022945404053,10.588520050048828,465,10,8,85,16,0.1
Qwen3-8B,city_unit_end,10,16,0.5924106471134157,0.48810503666053356,0.5402578418869747,869,5,16,16,0.5777000850881401,0.4605949980588361,0.22123477750658493,-6.551466020869899,2.3199210166931152,10.486240196228028,465,10,8,85,16,0.1
