model_label,layer,rows_discovery,rows_confirmation,frozen_pc1_variance_fraction,frozen_pc2_variance_fraction,frozen_pc3_variance_fraction,frozen_pc3_total_variance_fraction,trajectory_line_r2,centroid_distance_vs_count_gap_spearman,adjacent_step_pairwise_cosine_mean,adjacent_step_cosine_to_mean_mean,adjacent_step_length_cv,second_difference_over_step_norm,discovery_confirmation_same_step_cosine_mean,discovery_confirmation_same_step_cosine_min,frozen_pc3_ridge_r2,frozen_pc3_ridge_mad,frozen_pc3_nearest_centroid_accuracy,frozen_pc3_nearest_centroid_mad,confirmation_seed_projection_spearman_mean,confirmation_seed_projection_spearman_min,confirmation_adjacent_increment_positive_fraction
Qwen3-8B,12,200,100,0.54497302,0.09531638,0.0446385,0.6849279,0.6516323721161296,0.685222859625844,0.6573294852120887,0.686657696869514,1.294777969190248,0.7439114209739599,0.8685268784490415,0.2754385274615624,0.8856681369349145,0.805506125584233,0.45,0.92,0.9587878787878787,0.9151515151515152,0.8333333333333334
Qwen3-8B,13,200,100,0.53433585,0.10304501,0.04547989,0.6828607499999999,0.6356364027556571,0.6889526885662647,0.7127530735760488,0.6865794353105855,1.3382689579248002,0.7078584412836127,0.9047264010548299,0.544174182789906,0.8520691711723684,0.8632469618679424,0.44,0.91,0.96,0.9151515151515152,0.8222222222222223
Qwen3-8B,14,200,100,0.51749218,0.10517826,0.0474153,0.67008574,0.6290184876477587,0.6891525008309302,0.7201305366117445,0.6873217537441038,1.3699795570015372,0.7229807649250096,0.9267036038100773,0.7291243384988773,0.8851014986754534,0.7942035241336136,0.52,0.66,0.9660606060606061,0.9151515151515152,0.8555555555555555
Qwen3-8B,15,200,100,0.51578927,0.10788603,0.04483837,0.66851367,0.612699886069311,0.6822256756558632,0.6694283022310813,0.6503276740034306,1.3938736722155483,0.7546992222632627,0.8909555364837696,0.7551011107561738,0.8571269434320667,0.8856738005375252,0.46,0.77,0.9551515151515151,0.8545454545454544,0.8666666666666666
Qwen3-8B,16,200,100,0.49166837,0.11142642,0.0437567,0.64685149,0.587291413679301,0.672767895128368,0.6426775932992238,0.6270212723990993,1.4550677714635198,0.8109837774131171,0.8468019981118801,0.504673668407352,0.8280646055145993,0.9761791856602328,0.51,0.74,0.9466666666666667,0.8545454545454544,0.7888888888888889
Qwen3-8B,17,200,100,0.47479725,0.10687433,0.04159158,0.62326316,0.5971069219358605,0.6757650790983489,0.5510958195112443,0.5946372279115978,1.3896842772233897,0.8284493763697681,0.7606111485958247,0.2091668929610938,0.8068224365978234,1.0245739621208485,0.48,0.85,0.9345454545454546,0.8060606060606059,0.7444444444444445
Qwen3-8B,18,200,100,0.47253868,0.10384594,0.03870217,0.61508679,0.5826281190928398,0.6744996014221347,0.5098520950404429,0.5620978748505103,1.4090130721921001,0.8446050470980718,0.7269657363381493,0.011259066052272582,0.808815426578235,1.0406081470218476,0.44,0.88,0.9296969696969697,0.7939393939393938,0.7444444444444445
Qwen3-8B,19,200,100,0.41640499,0.11920727,0.04030336,0.57591562,0.5418959605295298,0.6647088004535306,0.4750134065390658,0.4960849456005577,1.462665708181515,0.8962574524515627,0.7111094936491561,-0.11320873679309362,0.7596975163966091,1.1678328596802083,0.44,0.97,0.9103030303030302,0.7333333333333332,0.7555555555555555
Qwen3-8B,20,200,100,0.35909608,0.10496741,0.04365253,0.5077160199999999,0.5228918052236284,0.6581815998077946,0.37199117987249153,0.47174195774907113,1.4485066705475325,0.9385623720178268,0.6079540619044229,-0.2132540185243475,0.6328087303112533,1.4119944578000279,0.33,1.38,0.9103030303030302,0.8060606060606059,0.7777777777777777
Qwen3-8B,21,200,100,0.35097232,0.10316832,0.04169953,0.49584017,0.5019046674197216,0.6510549623680624,0.3333568169298334,0.4490362395703683,1.471893968826923,0.9631410859027987,0.5479292853267402,-0.45233434929488636,0.6461368453216645,1.389899326380048,0.34,1.34,0.8957575757575758,0.7212121212121211,0.7777777777777777
